industry_name,data.date,donut_deseasonalised
Apparel,2018-01-01,5.337553312686072
Apparel,2018-02-01,3.037166856359553
Apparel,2018-03-01,1.6519788392842365
Apparel,2018-04-01,5.585460081029014
Apparel,2018-05-01,4.477938835574148
Apparel,2018-06-01,5.962558822209788
Apparel,2018-07-01,5.351597146040862
Apparel,2018-08-01,3.437852767657251
Apparel,2018-09-01,2.5730216639493575
Apparel,2018-10-01,4.23349431698165
Apparel,2018-11-01,4.362664073778018
Apparel,2018-12-01,5.180611452051121
Apparel,2019-01-01,-1.8161553742609955
Apparel,2019-02-01,-0.8454944920578944
Apparel,2019-03-01,-2.161837214707206
Apparel,2019-04-01,0.775956647747826
Apparel,2019-05-01,-0.3320705391459734
Apparel,2019-06-01,0.8834952240148306
Apparel,2019-07-01,1.4528977543954804
Apparel,2019-08-01,0.48905675899155954
Apparel,2019-09-01,0.6008256327526533
Apparel,2019-10-01,-1.7327001303176992
Apparel,2019-11-01,0.36119702311804813
Apparel,2019-12-01,2.3248297641503535
Apparel,2020-01-01,1.777407613761972
Apparel,2020-02-01,0.9418923235195225
Apparel,2020-03-01,-2.4948737321796566
Apparel,2020-04-01,-3.8852352794257983
Apparel,2020-05-01,-11.483583545368045
Apparel,2020-06-01,-16.418127756832938
Apparel,2020-07-01,-15.759154026754986
Apparel,2020-08-01,-15.305443507394568
Apparel,2020-09-01,-14.856918879203914
Apparel,2020-10-01,-18.113377872081905
Apparel,2020-11-01,-15.121592402267188
Apparel,2020-12-01,-13.480786639452127
Apparel,2021-01-01,-11.025621835810664
Apparel,2021-02-01,-10.553961106479644
Apparel,2021-03-01,-12.984398623073254
Apparel,2021-04-01,-13.242017587512276
Apparel,2021-05-01,-14.010374587662277
Apparel,2021-06-01,-12.705267830233959
Apparel,2021-07-01,-11.960850654400195
Apparel,2021-08-01,-9.98884561626718
Apparel,2021-09-01,-10.386642434502729
Apparel,2021-10-01,-10.280585938064368
Apparel,2021-11-01,-10.239316913819714
Apparel,2021-12-01,-9.906477346688616
Apparel,2022-01-01,-11.408522220873682
Apparel,2022-02-01,-10.167843449493947
Apparel,2022-03-01,-4.777842822568129
Apparel,2022-04-01,-8.315319042280697
Apparel,2022-05-01,-4.0185348105026435
Apparel,2022-06-01,-2.696974026015768
Apparel,2022-07-01,-1.7268376065494397
Apparel,2022-08-01,-2.231575790938881
Apparel,2022-09-01,-3.816742721829475
Apparel,2022-10-01,-2.09926204511021
Apparel,2022-11-01,-5.920113039133777
Apparel,2022-12-01,-10.419478534634242
Apparel,2023-01-01,-7.121694940192121
Apparel,2023-02-01,-7.5868027035685905
Apparel,2023-03-01,-5.326066017157484
Apparel,2023-04-01,-7.6941885330528335
Apparel,2023-05-01,-2.0910112766525555
Apparel,2023-06-01,-3.1979204982065967
Apparel,2023-07-01,-6.2445012490158405
Apparel,2023-08-01,-5.718488981769274
Apparel,2023-09-01,-3.8615765963808473
Apparel,2023-10-01,-2.1777787103445285
Apparel,2023-11-01,-4.035241653740316
Apparel,2023-12-01,-4.845578891328914
Fuel,2018-01-01,3.2812890942530286
Fuel,2018-02-01,-0.3482693967342283
Fuel,2018-03-01,0.8663411242092052
Fuel,2018-04-01,3.928679983406755
Fuel,2018-05-01,1.489693434367716
Fuel,2018-06-01,-2.086480858851238
Fuel,2018-07-01,0.5679243528313347
Fuel,2018-08-01,1.0029940162810405
Fuel,2018-09-01,1.7970729017136324
Fuel,2018-10-01,0.5190259065969884
Fuel,2018-11-01,2.8524473907509025
Fuel,2018-12-01,3.074306722166373
Fuel,2019-01-01,3.2633067736447168
Fuel,2019-02-01,1.0651837524020094
Fuel,2019-03-01,4.148961862303689
Fuel,2019-04-01,4.40567233332788
Fuel,2019-05-01,1.5195133334262578
Fuel,2019-06-01,-1.1916422602171655
Fuel,2019-07-01,2.196696694038148
Fuel,2019-08-01,1.09670262997421
Fuel,2019-09-01,-1.995325293440773
Fuel,2019-10-01,-6.062549452986505
Fuel,2019-11-01,-3.810565426922497
Fuel,2019-12-01,-4.635957612303455
Fuel,2020-01-01,-0.33214519457133673
Fuel,2020-02-01,1.4503627433841242
Fuel,2020-03-01,1.3478640052134494
Fuel,2020-04-01,3.0894489043499638
Fuel,2020-05-01,7.374691948567712
Fuel,2020-06-01,2.9485273842572703
Fuel,2020-07-01,2.508741748685706
Fuel,2020-08-01,-3.571851978665064
Fuel,2020-09-01,1.4913845809543744
Fuel,2020-10-01,6.410411241950224
Fuel,2020-11-01,6.283905994573221
Fuel,2020-12-01,5.273422322144998
Fuel,2021-01-01,-0.18867302931854857
Fuel,2021-02-01,1.1667790763602497
Fuel,2021-03-01,0.644769169771382
Fuel,2021-04-01,3.0879630039778796
Fuel,2021-05-01,4.697528871981568
Fuel,2021-06-01,4.804363816433696
Fuel,2021-07-01,5.561896962985053
Fuel,2021-08-01,8.297967025995723
Fuel,2021-09-01,11.40857884392055
Fuel,2021-10-01,14.491021924815
Fuel,2021-11-01,11.780640647156547
Fuel,2021-12-01,10.722889424866024
Fuel,2022-01-01,16.64603979634646
Fuel,2022-02-01,23.998662491302248
Fuel,2022-03-01,19.558113352389153
Fuel,2022-04-01,7.502894007932395
Fuel,2022-05-01,0.44281591379969854
Fuel,2022-06-01,3.327260560469439
Fuel,2022-07-01,3.2902610999331254
Fuel,2022-08-01,14.439842279267966
Fuel,2022-09-01,8.161998515277643
Fuel,2022-10-01,1.380070960411034
Fuel,2022-11-01,-9.227783121188182
Fuel,2022-12-01,-7.610372690581105
Fuel,2023-01-01,-9.578964449786488
