MetroShort,avg_2023,slope,t_stat,p_value,not_positive,less_five,persisters
"Niles, MI",-6.940502722321019,-0.003336807601813334,-4.419914050103542,0.011511661450774396,1,1,1
"Norwich, CT",3.8945225380467408,-0.005287431739951526,-3.7506492736751547,0.01993584482523835,1,0,0
"Ocala, FL",1.7640012147773338,0.0294821383136077,6.64205556485426,0.0026668963298329394,0,0,0
"Ocean City, NJ",-4.269981386595677,0.030189170758768796,3.8532937257424407,0.01825125608869303,0,1,0
"Odessa, TX",-3.1134035300710576,0.002463922265356459,5.799154500550832,0.004396995454020036,0,1,0
"Oklahoma City, OK",-10.664191280511961,-0.0018211478237287245,-4.31636266162173,0.012483175545664409,1,1,1
"Omaha, NE",1.140638463976687,-0.002242950285831948,-1.3399703977806696,0.25131067117002476,1,0,0
"Orlando, FL",-4.54224828240394,0.0011257455977485408,1.000352423345664,0.37374968878927634,1,1,1
"Oxnard, CA",-1.362638096069162,0.003165826111626942,22.95536734944293,2.1337311337369675e-5,0,0,0
"Palm Bay, FL",2.741270344975639,0.015083861962459191,9.968464179347405,5.689176592312386e-4,0,0,0
"Panama City, FL",18.15191004458199,0.011885481504467934,17.05698130772829,6.928768127582399e-5,0,0,0
"Pensacola, FL",5.668106461271094,0.0052328447897679155,8.541475249208624,0.0010311961114434355,0,0,0
"Peoria, IL",0.29763963585787806,-0.0041356375074666244,-3.397465936966003,0.027341093791688763,1,0,0
"Philadelphia, PA",-30.989305569397338,-0.00225989551921281,-1.590709815108198,0.18688355036319465,1,1,1
"Phoenix, AZ",-6.692044313568818,0.014701855486712585,9.722603663409288,6.266089982764523e-4,0,1,0
"Pittsburgh, PA",-5.499346616830942,-0.0034932198980398128,-6.178917404736698,0.0034852331050968816,1,1,1
"Pittsfield, MA",-3.3890818636941806,-0.008764230237626682,-3.6131489138784025,0.022493587074849802,1,1,1
"Portland, ME",-8.680249277808736,0.004561742920146733,1.7605792369489854,0.15311326875344802,1,1,1
"Portland, OR",-23.670488677018106,-0.0020129811071449414,-7.327338910559875,0.0018461884810605626,1,1,1
"Poughkeepsie, NY",0.12858275850475243,-0.0011383136500069024,-2.2529495502851677,0.08735938310427013,1,0,0
"Providence, RI",-0.5971378313940131,-0.004764671449935968,-4.0452189335132696,0.015536896488573173,1,0,0
"Provo, UT",1.9688489236543127,0.0036135186870505016,8.337450821986941,0.001131029630753034,0,0,0
"Pueblo, CO",12.284126787435463,-0.009092533497036717,-9.985076529955183,5.652624199306052e-4,1,0,0
"Raleigh, NC",-14.525985648942504,2.960952941324057e-4,0.34351495219874373,0.7485072993149151,1,1,1
"Reading, PA",21.01631831761833,0.0027871856750156417,5.085539947682848,0.007053379464491976,0,0,0
"Reno, NV",-3.8703819935270913,-0.0027585705930394276,-5.956417275342241,0.003987613830815341,1,1,1
"Richmond, VA",-16.771874734166488,0.0025138600415102823,1.5959426755043602,0.18573480329346276,1,1,1
"Riverside, CA",-1.6275203704091645,0.003965105324670892,7.401428425064348,0.0017774704401894476,0,1,0
"Roanoke, VA",16.010514191495698,-5.790173693781432e-4,-1.8399904255337929,0.1395999882010339,1,0,0
"Rochester, NY",-5.508726142338118,-0.005305468080981436,-3.475282711130733,0.025460942534652278,1,1,1
"Rockford, IL",13.33111871676528,0.0017028804322884448,4.705405388428794,0.009271183233555302,0,0,0
"Sacramento, CA",-13.408695842919181,-0.001624317490553222,-6.32580894604955,0.003195860341443067,1,1,1
"Saginaw, MI",-43.23469508076106,-0.005870070336046492,-3.127902739787479,0.03525652911006126,1,1,1
"Salem, OR",1.1413715869214358,0.009293769163257833,11.105337782963,3.7402889752056334e-4,0,0,0
"Salt Lake City, UT",-8.182484524704956,0.006438133612661942,6.481551383592509,0.0029206419860370015,0,1,0
"San Angelo, TX",-2.297289968744455,-0.004569723958899449,-11.123277800013533,3.7168454496813475e-4,1,1,1
"San Antonio, TX",-12.434540621942297,-2.9317697360440682e-5,-0.028089513416340202,0.9789363272221052,1,1,1
"San Diego, CA",-19.179265800193168,-0.010194200388340744,-10.897432136791135,4.0258628885095663e-4,1,1,1
"San Francisco, CA",-28.523612778675638,0.003484400945104156,10.993345741785019,3.890868670894953e-4,0,1,0
"San Jose, CA",-12.586641874946432,0.0010144081568238075,2.8588040936258166,0.04598496386446715,0,1,0
"Santa Barbara, CA",-8.14357185856743,0.0015795263357661479,2.903368197067096,0.04396924479273921,0,1,0
"Savannah, GA",-9.719551091977003,0.0042793736943093,2.980836491174396,0.04070517480221521,0,1,0
"Scranton, PA",9.996438113013296,0.0016119693499159103,2.3841907636744617,0.07564376678614064,0,0,0
"Seattle, WA",-32.83488860021361,-1.3425242261746334e-4,-0.41738856591542917,0.6978238193419704,1,1,1
"Sebastian, FL",-6.259499076088415,0.011747015095439463,4.167306894572671,0.014061778311728383,0,1,0
"Shreveport, LA",-15.418411125984441,0.002226738940417582,7.081663164230164,0.0020988198583098837,0,1,0
"Sioux City, IA",-29.25252584177646,-0.005127261411765591,-0.7321131375998124,0.504685007211727,1,1,1
"Sioux Falls, SD",2.715592456149156,-0.0037431318892124058,-1.8931164691090607,0.13127740449477296,1,0,0
"South Bend, IN",11.630693126778766,-0.001822527253846779,-1.3350432829684147,0.2527772642880498,1,0,0
"Spokane, WA",2.869264510877987,0.0014942309000304103,1.291941859216421,0.2659673272809302,1,0,0
"Springfield, IL",-6.7189534769342005,0.00406580042292958,5.897705568286318,0.00413474404417809,0,1,0
"Springfield, MA",15.79805587830805,-0.001925575581061585,-1.7614588374441942,0.1529561712825671,1,0,0
"Springfield, MO",12.852103617790476,-0.0022624252146526123,-2.510468659903981,0.06602433921769592,1,0,0
"Springfield, OH",16.467229555486004,-0.007443437865410682,-22.39407244694654,2.354331150477278e-5,1,0,0
"State College, PA",0.17121748794979974,6.766860220493538e-4,0.79186713665494,0.4727507021170809,1,0,0
"Stockton, CA",-0.9633688291946783,0.0014532939951118595,3.3888788335167783,0.027558502506516442,0,0,0
"Syracuse, NY",-2.1124711215623453,-0.0049428832571894125,-2.9336809954173426,0.04265691353214573,1,1,1
"Tallahassee, FL",-2.4797947931009245,3.036382885049092e-4,0.59613850159834,0.5831790631287268,1,1,1
"Tampa, FL",-2.9156618099903953,0.01074531615618163,10.442938715019224,4.7508035663593184e-4,0,1,0
"Terre Haute, IN",-3.754962783432053,0.0012178375837036397,0.8215567388354285,0.45747504826681107,1,1,1
"Toledo, OH",3.7435018369253354,-0.009348636790902854,-5.59666824182576,0.0050029122239135795,1,0,0
"Topeka, KS",34.522388047251454,-0.0036431225996764924,-1.5107084374116984,0.2053851421781295,1,0,0
"Trenton, NJ",32.941577443335184,-0.0011534068510198371,-1.7094624550585387,0.16254304282679546,1,0,0
"Tucson, AZ",-10.788288271143358,-0.011524101318311162,-3.70981802021527,0.020657319208500884,1,1,1
"Tulsa, OK",-0.9383420337075098,0.0037178332796801144,3.115433129431367,0.03568381767870689,0,0,0
"Tuscaloosa, AL",1.5881616484874763,0.001110876608732819,1.074343907985646,0.34315707214022206,1,0,0
"Tyler, TX",10.2358518050942,0.0037908751659684733,9.231677772916697,7.652392548468347e-4,0,0,0
"Utica, NY",6.034038915627369,3.0372817365487137e-4,0.6950227507023833,0.5253018936706697,1,0,0
"Vallejo, CA",-2.345247435883182,-8.530096382081993e-4,-15.060861217114644,1.1326466784268276e-4,1,1,1
"Victoria, TX",7.72309384170768,0.0016416743483143703,5.611509633352352,0.004955159035570874,0,0,0
