big_region,data.date,donut_deseasonalised
E Europe,2021-02-01,-27.253597684917217
E Europe,2021-03-01,-29.99909388823719
E Europe,2021-04-01,-28.068208732568664
E Europe,2021-05-01,-27.410450879123818
E Europe,2021-06-01,-24.897575140824518
E Europe,2021-07-01,-25.455526474547167
E Europe,2021-08-01,-23.72927970244886
E Europe,2021-09-01,-22.99809685355821
E Europe,2021-10-01,-24.177637630906563
E Europe,2021-11-01,-22.467695321057985
E Europe,2021-12-01,-23.89383727846171
E Europe,2022-01-01,-23.842766723781608
E Europe,2022-02-01,-24.515334664118242
E Europe,2022-03-01,-20.543703527161355
E Europe,2022-04-01,-19.65483622647614
E Europe,2022-05-01,-18.925412539763144
E Europe,2022-06-01,-22.462503134942857
E Europe,2022-07-01,-24.840873728419552
E Europe,2022-08-01,-24.466045866299666
E Europe,2022-09-01,-23.83246377645059
E Europe,2022-10-01,-23.708152726838886
E Europe,2022-11-01,-24.360966803704134
E Europe,2022-12-01,-27.07793425865638
E Europe,2023-01-01,-22.852390522847863
E Europe,2023-02-01,-22.978591501329056
E Europe,2023-03-01,-20.627485213724434
E Europe,2023-04-01,-23.587718991769478
E Europe,2023-05-01,-22.56574483036963
E Europe,2023-06-01,-25.087470319355543
E Europe,2023-07-01,-29.735900116844856
E Europe,2023-08-01,-30.191913796205334
E Europe,2023-09-01,-28.516512218915565
English,2018-01-01,-2.20706418448021
English,2018-02-01,-4.005977817475087
English,2018-03-01,-0.2072357549715691
English,2018-04-01,2.3957628806899196
English,2018-05-01,2.899714103894891
English,2018-06-01,2.3197382986050497
English,2018-07-01,2.331417008184385
English,2018-08-01,1.614507597132703
English,2018-09-01,-0.8358931050580019
English,2018-10-01,0.6660047538549945
English,2018-11-01,-0.03478830617986084
English,2018-12-01,-1.1808192951583631
English,2019-01-01,-2.1304041747610722
English,2019-02-01,-3.2303311017233787
English,2019-03-01,1.6492016317144187
English,2019-04-01,2.148839838770357
English,2019-05-01,2.9120565304956005
English,2019-06-01,2.0123010329043574
English,2019-07-01,0.49239692043686123
English,2019-08-01,-0.8834129587697122
English,2019-09-01,-0.5770918803356473
English,2019-10-01,-0.6975919884206485
English,2019-11-01,-1.4734948744136664
English,2019-12-01,-0.2224687613592895
English,2020-01-01,-2.873116986826057
English,2020-02-01,-5.077806981211131
English,2020-03-01,-21.28981024194972
English,2020-04-01,-29.38199882136106
English,2020-05-01,-34.69048675266622
English,2020-06-01,-35.056444954872525
English,2020-07-01,-34.62340012272358
English,2020-08-01,-32.71187375373136
English,2020-09-01,-31.941143943002924
English,2020-10-01,-36.24420652983154
English,2020-11-01,-36.17251646308936
English,2020-12-01,-33.97281664969304
English,2021-01-01,-30.09124427361901
English,2021-02-01,-29.71913323931907
English,2021-03-01,-32.20505803886177
English,2021-04-01,-29.770015237820527
English,2021-05-01,-28.155518289198504
English,2021-06-01,-25.43196244396145
English,2021-07-01,-25.360009225551913
English,2021-08-01,-24.37527357732587
English,2021-09-01,-24.01919615141415
English,2021-10-01,-23.86959102598956
English,2021-11-01,-21.470044790774104
English,2021-12-01,-24.191213683052204
English,2022-01-01,-26.454872917935585
English,2022-02-01,-22.51413366144795
English,2022-03-01,-17.656571475493863
English,2022-04-01,-15.879281793536794
English,2022-05-01,-14.501882782426227
English,2022-06-01,-15.88590487876673
English,2022-07-01,-14.729815681511601
English,2022-08-01,-16.1672796237672
English,2022-09-01,-14.930328155074855
English,2022-10-01,-14.950789807244742
English,2022-11-01,-17.198521662083735
English,2022-12-01,-18.346128055724684
English,2023-01-01,-16.590375548001603
English,2023-02-01,-17.180282423006876
English,2023-03-01,-13.39873884503406
English,2023-04-01,-13.856855898280605
English,2023-05-01,-14.042774198037383
English,2023-06-01,-14.512891787114803
English,2023-07-01,-15.642025127119398
English,2023-08-01,-15.815533519989946
English,2023-09-01,-16.84264587669108
W Europe,2018-01-01,1.7793923651936399
W Europe,2018-02-01,-0.7903314346089525
W Europe,2018-03-01,2.4837958896309287
W Europe,2018-04-01,4.585974150801356
W Europe,2018-05-01,3.2932591078669216
W Europe,2018-06-01,2.0523878227861547
W Europe,2018-07-01,0.7795800842790809
W Europe,2018-08-01,-0.12273778491293541
W Europe,2018-09-01,-1.3742490236290315
