city,data.date,data.donut_effect_cumulative,donut_deseasonalised
Budapest,2019-07-01,-2.006939123,0.29860820127598986
Budapest,2019-08-01,-4.853707797,-3.1326783721656026
Budapest,2019-09-01,2.610883233,-1.7227194948415585
Budapest,2019-10-01,3.786314736,-1.4435647718246405
Budapest,2019-11-01,1.346404949,-1.046601479444715
Budapest,2019-12-01,6.977488456,2.7119421991084316
Budapest,2020-01-01,3.816332367,-0.6294355256010231
Budapest,2020-02-01,-0.506297261,-2.8076064570682107
Budapest,2020-03-01,-30.89584305,-24.494403087925008
Budapest,2020-04-01,-45.99547933,-40.256387079010125
Budapest,2020-05-01,-46.94557916,-42.92667674643034
Budapest,2020-06-01,-32.42911724,-29.6460160223955
Budapest,2020-07-01,-28.41578374,-26.11023641572401
Budapest,2020-08-01,-30.04054954,-28.319520115165602
Budapest,2020-09-01,-26.6613888,-30.99499152784156
Budapest,2020-10-01,-28.54957753,-33.77945703782464
Budapest,2020-11-01,-36.45954855,-38.852554978444715
Budapest,2020-12-01,-39.11849802,-43.384044276891565
Budapest,2021-01-01,-33.19822557,-37.643993462601024
Budapest,2021-02-01,-32.36755363,-34.668862826068214
Budapest,2021-03-01,-46.59084261,-40.189402647925014
Budapest,2021-04-01,-42.1257834,-36.386691149010126
Budapest,2021-05-01,-37.66106611,-33.64216369643034
Budapest,2021-06-01,-32.39992025,-29.616819032395505
Budapest,2021-07-01,-30.07254814,-27.76700081572401
Budapest,2021-08-01,-24.51717426,-22.796144835165602
Budapest,2021-09-01,-16.03537156,-20.36897428784156
Budapest,2021-10-01,-14.48835657,-19.718236077824642
Budapest,2021-11-01,-13.91605735,-16.309063778444717
Budapest,2021-12-01,-12.93358427,-17.19913052689157
Budapest,2022-01-01,-14.7383502,-19.18411809260102
Budapest,2022-02-01,-18.41289886,-20.71420805606821
Budapest,2022-03-01,-17.90629314,-11.504853177925009
Budapest,2022-04-01,-14.38058229,-8.641490039010119
Budapest,2022-05-01,-11.87756342,-7.858661006430337
Budapest,2022-06-01,-14.00711592,-11.224014702395504
Budapest,2022-07-01,-15.30918054,-13.00363321572401
Budapest,2022-08-01,-11.17587563,-9.454846205165603
Budapest,2022-09-01,-7.664606693,-11.998209420841558
Budapest,2022-10-01,-6.531949197,-11.76182870482464
Budapest,2022-11-01,-11.06948319,-13.462489618444716
Budapest,2022-12-01,-9.971110281,-14.236656537891568
Budapest,2023-01-01,-6.615596864,-11.061364756601023
Budapest,2023-02-01,-9.028472326,-11.32978152206821
Budapest,2023-03-01,-11.58292074,-5.18148077792501
Budapest,2023-04-01,-12.44473064,-6.70563838901012
Budapest,2023-05-01,-11.77679197,-7.757889556430337
Budapest,2023-06-01,-15.13874534,-12.355644122395503
Budapest,2023-07-01,-18.6882587,-16.382711375724007
Budapest,2023-08-01,-16.54078559,-14.819756165165602
Budapest,2023-09-01,-8.73372962,-13.067332347841559
Cairo,2018-01-01,-4.246057695,-0.9464130857065935
Cairo,2018-02-01,-0.981479354,-1.6001356329434009
Cairo,2018-03-01,0.877775055,-0.5438185564604994
Cairo,2018-04-01,0.77472797,-3.047949382870648
Cairo,2018-05-01,-2.280136496,-5.146892528752312
Cairo,2018-06-01,-3.666684905,-4.804656797357598
Cairo,2018-07-01,-3.598138763,-5.0767957650573745
Cairo,2018-08-01,-3.451795584,-4.127032120430256
Cairo,2018-09-01,-3.045637204,-0.36412087131350734
Cairo,2018-10-01,-1.716439676,0.8462368922845025
Cairo,2018-11-01,-4.34682888,-1.3140092065960052
Cairo,2018-12-01,-0.293609797,0.15128193631493403
Cairo,2019-01-01,-8.364248161,-5.064603551706594
Cairo,2019-02-01,-0.293900241,-0.9125565199434009
Cairo,2019-03-01,0.125550002,-1.2960436094604992
Cairo,2019-04-01,3.188752711,-0.6339246418706481
Cairo,2019-05-01,-3.684677777,-6.551433809752313
Cairo,2019-06-01,-0.553364766,-1.6913366583575984
Cairo,2019-07-01,3.797134307,2.3184773049426255
Cairo,2019-08-01,3.122154707,2.4469181705697447
Cairo,2019-09-01,2.11991201,4.801428342686493
Cairo,2019-10-01,2.164691891,4.727368459284502
Cairo,2019-11-01,-1.356350509,1.676469164403995
Cairo,2019-12-01,-0.265654173,0.1792375603149341
Cairo,2020-01-01,-11.4512446,-8.151599990706593
Cairo,2020-02-01,-4.265122649,-4.883778927943402
Cairo,2020-03-01,-8.794533634,-10.2161272454605
Cairo,2020-04-01,-2.586223999,-6.408901351870648
Cairo,2020-05-01,-4.989645059,-7.856401091752312
Cairo,2020-06-01,-7.766883113,-8.904855005357598
Cairo,2020-07-01,-17.77372415,-19.252381152057374
Cairo,2020-08-01,-20.66889691,-21.344133446430256
Cairo,2020-09-01,-23.31369933,-20.632182997313507
Cairo,2020-10-01,-36.9629522,-34.400275631715495
Cairo,2020-11-01,-36.57994598,-33.547126306596006
Cairo,2020-12-01,-30.9945307,-30.549638966685066
Cairo,2021-01-01,-32.28566036,-28.986015750706596
Cairo,2021-02-01,-28.93558113,-29.5542374089434
Cairo,2021-03-01,-31.95670102,-33.3782946314605
Cairo,2021-04-01,-27.98901796,-31.81169531287065
Cairo,2021-05-01,-31.41330054,-34.280056572752315
Cairo,2021-06-01,-36.73625125,-37.8742231423576
Cairo,2021-07-01,-35.25270671,-36.73136371205737
Cairo,2021-08-01,-35.63419217,-36.30942870643025
Cairo,2021-09-01,-43.81494452,-41.133428187313505
Cairo,2021-10-01,-44.05539863,-41.4927220617155
Cairo,2021-11-01,-40.26058178,-37.22776210659601
Cairo,2021-12-01,-40.11305234,-39.66816060668507
Cairo,2022-01-01,-36.94081549,-33.64117088070659
Cairo,2022-02-01,-38.36143497,-38.980091248943395
Cairo,2022-03-01,-29.43995943,-30.861553041460496
Cairo,2022-04-01,-28.50926406,-32.33194141287065
Cairo,2022-05-01,-20.58192284,-23.448678872752314
Cairo,2022-06-01,-20.55026511,-21.6882370023576
Cairo,2022-07-01,-19.56221978,-21.040876782057374
Cairo,2022-08-01,-20.97983809,-21.655074626430256
Cairo,2022-09-01,-29.39776736,-26.716251027313508
Cairo,2022-10-01,-15.63583021,-13.073153641715498
Cairo,2022-11-01,-17.38021585,-14.347396176596003
Cairo,2022-12-01,-16.72826812,-16.283376386685067
Cairo,2023-01-01,-17.28529822,-13.985653610706596
Cairo,2023-02-01,-15.36459011,-15.983246388943401
Cairo,2023-03-01,-15.3351856,-16.7567792114605
Cairo,2023-04-01,-15.93573036,-19.75840771287065
Cairo,2023-05-01,-14.78278254,-17.649538572752313
Cairo,2023-06-01,-19.63704339,-20.775015282357597
Cairo,2023-07-01,-15.28203025,-16.760687252057373
Cairo,2023-08-01,-15.93193782,-16.607174356430257
Cairo,2023-09-01,-17.28517173,-14.603655397313506
Helsinki,2018-01-01,3.735733444,6.69442509769396
Helsinki,2018-02-01,1.921614284,1.2291657082632357
Helsinki,2018-03-01,2.519026107,6.937821973546389
Helsinki,2018-04-01,0.093706133,13.017233949047254
Helsinki,2018-05-01,-0.653116826,8.617516966120586
Helsinki,2018-06-01,5.160730678,7.838332357577592
Helsinki,2018-07-01,4.105844824,-0.26077277710297153
Helsinki,2018-08-01,8.982868111,3.4966176884699456
Helsinki,2018-09-01,3.117781089,-0.7222917299067793
Helsinki,2018-10-01,4.832754943,-0.36675290008405526
Helsinki,2018-11-01,6.080825971,-0.595331882265671
Helsinki,2018-12-01,11.47253253,5.484335131061238
Helsinki,2019-01-01,-2.764342468,0.19434918569396054
Helsinki,2019-02-01,-1.306116787,-1.9985653627367637
Helsinki,2019-03-01,-0.596528211,3.822267655546389
Helsinki,2019-04-01,-8.836582651,4.086945165047254
Helsinki,2019-05-01,-3.253114134,6.017519658120586
Helsinki,2019-06-01,-0.562044146,2.1155575335775914
Helsinki,2019-07-01,3.756804907,-0.6098126941029718
Helsinki,2019-08-01,5.458745242,-0.027505180530054574
Helsinki,2019-09-01,-0.287561522,-4.12763434090678
Helsinki,2019-10-01,1.552634686,-3.6468731570840554
Helsinki,2019-11-01,3.219454061,-3.4567037922656714
Helsinki,2019-12-01,3.618651024,-2.3695463749387624
Helsinki,2020-01-01,0.234864649,3.1935563026939597
Helsinki,2020-02-01,-0.772812824,-1.4652613997367645
Helsinki,2020-03-01,-20.59282078,-16.17402491345361
Helsinki,2020-04-01,-39.3811197,-26.457591883952745
Helsinki,2020-05-01,-38.99184628,-29.721212487879413
Helsinki,2020-06-01,-33.22105511,-30.54345343042241
Helsinki,2020-07-01,-26.480505,-30.847122601102974
Helsinki,2020-08-01,-26.25650083,-31.742751252530056
Helsinki,2020-09-01,-23.83030009,-27.67037290890678
Helsinki,2020-10-01,-30.86924804,-36.06875588308405
Helsinki,2020-11-01,-30.36625406,-37.04241191326567
Helsinki,2020-12-01,-36.09336645,-42.08156384893876
Helsinki,2021-01-01,-35.27855977,-32.31986811630604
Helsinki,2021-02-01,-31.26825419,-31.960702765736766
Helsinki,2021-03-01,-47.16773698,-42.74894111345361
Helsinki,2021-04-01,-58.0300582,-45.106530383952745
Helsinki,2021-05-01,-50.15234919,-40.88171539787942
Helsinki,2021-06-01,-34.6461876,-31.968585920422406
Helsinki,2021-07-01,-17.43198667,-21.798604271102974
Helsinki,2021-08-01,-20.53934059,-26.025591012530054
Helsinki,2021-09-01,-15.52299012,-19.36306293890678
Helsinki,2021-10-01,-7.771002052,-12.970509895084056
Helsinki,2021-11-01,-6.770674241,-13.446832094265671
Helsinki,2021-12-01,-12.90266961,-18.890867008938763
Helsinki,2022-01-01,-32.88438748,-29.92569582630604
Helsinki,2022-02-01,-20.54777976,-21.240228335736766
Helsinki,2022-03-01,-14.97602354,-10.55722767345361
Helsinki,2022-04-01,-18.40831574,-5.484787923952744
Helsinki,2022-05-01,-19.9148715,-10.644237707879414
Helsinki,2022-06-01,-17.29900383,-14.621402150422409
Helsinki,2022-07-01,-7.264631897,-11.63124949810297
Helsinki,2022-08-01,-8.292829416,-13.779079838530055
Helsinki,2022-09-01,-9.6805743970000009,-13.52064721590678
Helsinki,2022-10-01,-10.8607847,-16.060292543084056
Helsinki,2022-11-01,-9.353789159,-16.029947012265673
Helsinki,2022-12-01,-7.980826182,-13.969023580938764
Helsinki,2023-01-01,-17.43122729,-14.472535636306038
Helsinki,2023-02-01,-12.07423286,-12.766681435736764
Helsinki,2023-03-01,-15.46742306,-11.048627193453612
Helsinki,2023-04-01,-23.97997773,-11.056449913952747
Helsinki,2023-05-01,-14.89216104,-5.621527247879413
Helsinki,2023-06-01,-8.498701266,-5.821099586422408
Helsinki,2023-07-01,-4.253490012,-8.620107613102972
Helsinki,2023-08-01,-0.672651275,-6.158901697530054
Helsinki,2023-09-01,-5.462717512,-9.30279033090678
Jakarta,2018-01-01,-0.918525352,-1.2717909339656321
Jakarta,2018-02-01,1.144091739,-0.6959942669292525
Jakarta,2018-03-01,-1.734404862,-1.0683327007617245
Jakarta,2018-04-01,-3.7492581,-1.1842466652113255
