distance_column,data.date,donut_deseasonalised
5 mile,2021-07-01,-10.248850517653127
5 mile,2021-08-01,-9.414919358755709
5 mile,2021-09-01,-8.391350757848237
5 mile,2021-10-01,-5.570322505606994
5 mile,2021-11-01,-2.7012166802865547
5 mile,2021-12-01,-4.477264198418484
5 mile,2022-01-01,-5.689856683766262
5 mile,2022-02-01,-3.909417236429352
5 mile,2022-03-01,1.3599084511259492
5 mile,2022-04-01,0.04613369123242461
5 mile,2022-05-01,3.667074798158148
5 mile,2022-06-01,2.4293771755283817
5 mile,2022-07-01,0.0751531589521306
5 mile,2022-08-01,0.3442728913991746
5 mile,2022-09-01,-0.06376557408963279
5 mile,2022-10-01,0.32482010412154283
5 mile,2022-11-01,-3.954884818577469
5 mile,2022-12-01,-6.502035245140068
5 mile,2023-01-01,-6.807954911869305
5 mile,2023-02-01,-6.931154635225358
5 mile,2023-03-01,-7.803053225023417
5 mile,2023-04-01,-7.390003628845367
5 mile,2023-05-01,-1.0638598123687855
5 mile,2023-06-01,-3.8393529352243467
5 mile,2023-07-01,-3.6659984521527003
5 mile,2023-08-01,-5.5773187943777955
5 mile,2023-09-01,-6.148296279106438
50 mile,2018-01-01,1.7259506731363645
50 mile,2018-02-01,-0.10152503537998214
50 mile,2018-03-01,3.6531936525188735
50 mile,2018-04-01,5.052281558205261
50 mile,2018-05-01,3.1471330798635755
50 mile,2018-06-01,2.866654350672154
50 mile,2018-07-01,3.56159689124424
50 mile,2018-08-01,1.9063034648095112
50 mile,2018-09-01,0.9623138552423056
50 mile,2018-10-01,2.3871021074869416
50 mile,2018-11-01,-0.575635175953001
50 mile,2018-12-01,1.8059461903105358
50 mile,2019-01-01,-0.4122102841627493
50 mile,2019-02-01,-1.3304310666867492
50 mile,2019-03-01,4.566638665951204
50 mile,2019-04-01,2.50041236001893
50 mile,2019-05-01,0.8502279187541323
50 mile,2019-06-01,0.7148584373842047
50 mile,2019-07-01,0.8716473759609147
50 mile,2019-08-01,0.24946075700684966
50 mile,2019-09-01,-0.4410612486000669
50 mile,2019-10-01,-2.7159945177109277
50 mile,2019-11-01,-2.668617824362487
50 mile,2019-12-01,-2.1849308661552147
50 mile,2020-01-01,-2.5791484120013006
50 mile,2020-02-01,-4.980492354372444
50 mile,2020-03-01,-17.24860918158269
50 mile,2020-04-01,-21.01922485170222
50 mile,2020-05-01,-26.82400804887375
50 mile,2020-06-01,-26.55757594699065
50 mile,2020-07-01,-27.22619169205504
50 mile,2020-08-01,-26.585237723340466
50 mile,2020-09-01,-28.856755078518706
50 mile,2020-10-01,-33.438745929916195
50 mile,2020-11-01,-32.784551354123444
50 mile,2020-12-01,-33.25169408191147
50 mile,2021-01-01,-31.041974047955513
50 mile,2021-02-01,-28.941237628840227
50 mile,2021-03-01,-33.1039099933092
50 mile,2021-04-01,-30.136482551863157
50 mile,2021-05-01,-31.554888936554676
50 mile,2021-06-01,-28.370486158887665
50 mile,2021-07-01,-26.686269115517874
50 mile,2021-08-01,-24.723052407912746
50 mile,2021-09-01,-23.005509138408016
50 mile,2021-10-01,-21.469226923573604
50 mile,2021-11-01,-17.94124410086165
50 mile,2021-12-01,-20.616079067347687
50 mile,2022-01-01,-21.8438862096358
50 mile,2022-02-01,-20.281925477901723
50 mile,2022-03-01,-16.133186862136025
50 mile,2022-04-01,-15.778066149715958
50 mile,2022-05-01,-10.53053509480942
50 mile,2022-06-01,-11.958043662165682
50 mile,2022-07-01,-13.783646526177478
50 mile,2022-08-01,-13.198882282312493
50 mile,2022-09-01,-12.403141792214399
50 mile,2022-10-01,-11.208043364968178
50 mile,2022-11-01,-13.84449611266719
50 mile,2022-12-01,-15.102730926953335
50 mile,2023-01-01,-14.589501777786978
50 mile,2023-02-01,-14.67519782450428
50 mile,2023-03-01,-13.614943133199503
50 mile,2023-04-01,-13.856281013013426
50 mile,2023-05-01,-9.681824053953061
50 mile,2023-06-01,-12.450894945824116
50 mile,2023-07-01,-13.654209552918903
50 mile,2023-08-01,-15.71906053773121
50 mile,2023-09-01,-15.47970154008409
