MetroShort,avg_2023,slope,t_stat,p_value,not_positive,less_five,persisters
"Columbus, GA",-5.361030129323219,-0.001675524258673771,-1.9076745661039938,0.1290914273160526,1,1,1
"Columbus, OH",-2.714717020821185,-0.001288673559429344,-2.7453405534856343,0.051621103027908365,1,1,1
"Corpus Christi, TX",-2.7352639110425887,7.946474663561271e-4,1.0483342961696993,0.35364794669033367,1,1,1
"Cumberland, MD",-2.4796531547515768,-4.185522974502444e-4,-1.2041746829595628,0.2949031634707557,1,1,1
"Decatur, AL",-2.077730951193723,6.81916962234174e-4,0.5436356358779482,0.6155726496995657,1,1,1
"Denver, CO",-2.9671798192877024,-0.0023145664485129626,-4.524968408886455,0.01061799640463017,1,1,1
"Des Moines, IA",-3.124425323602504,-0.0016247699330258173,-3.7204130062802614,0.020467151362827615,1,1,1
"Duluth, MN",-1.7750990380136011,-0.00849489102755354,-4.114261858823837,0.014680986686994158,1,1,1
"Elmira, NY",-2.1837485472831024,9.916268668199886e-4,1.8383895423574925,0.13985943283595514,1,1,1
"Fayetteville, NC",-12.245854332187639,-0.007313246877108031,-6.69272820642732,0.002592477278499061,1,1,1
"Gainesville, GA",-1.1142904563294003,4.834097132786433e-4,0.3811366788878519,0.7224808880595274,1,1,1
"Glens Falls, NY",-5.534173856396516,-0.011560552739053136,-5.661616590267702,0.004798007205619662,1,1,1
"Grand Junction, CO",-5.0449603524438285,-0.01427252688190362,-20.215504599858534,3.534770180368082e-5,1,1,1
"Grand Rapids, MI",-0.9090367243403606,-0.0032946581543006103,-1.9703180976708088,0.12012573941557314,1,1,1
"Great Falls, MT",-1.925615487388512,-0.002994238231050136,-3.750521650544819,0.019938052484559377,1,1,1
"Gulfport, MS",-5.869193979713859,-0.002144488327095412,-4.054858815161366,0.015413852719003512,1,1,1
"Huntsville, AL",-0.7218985490402564,2.9514127107360693e-4,0.6276700259918966,0.5642710857255551,1,1,1
"Indianapolis, IN",-0.8825132381849636,-0.002937117209092449,-2.551809554312135,0.06318405808590655,1,1,1
"Iowa City, IA",-1.0579028127890815,-0.001902650872355907,-2.910303588961197,0.0436648853449458,1,1,1
"Ithaca, NY",-5.234817001549981,-0.002461537293083633,-0.9889022341896492,0.37869199176510693,1,1,1
"Jacksonville, FL",-1.5897318106249267,3.1644707218772273e-4,0.3962533607094265,0.7121470834611298,1,1,1
"Johnson City, TN",-2.465000984177885,0.0015407950019038718,1.950783278661755,0.12284669045631523,1,1,1
"Johnstown, PA",-8.120254727682557,-0.06411897565397738,-6.2262271388026615,0.003388642937889293,1,1,1
"Kalamazoo, MI",-46.075037268924774,-0.06347521055513076,-20.458001804493996,3.371414151496714e-5,1,1,1
"Kansas City, MO",-3.383848084538986,-0.001264542740084121,-3.5695684776017833,0.02338477211182629,1,1,1
"Killeen, TX",-22.98374552670596,-0.009818709445971895,-5.787103602658609,0.0044304464133804585,1,1,1
"Lake Havasu City, AZ",-10.676418467985783,-0.0423354000263177,-11.275923071548526,3.5245838203806665e-4,1,1,1
"Los Angeles, CA",-2.9091180882432743,2.1830956651044117e-5,0.1225530412006826,0.9083716920226427,1,1,1
