zip,post_pct_change,pre_pct_change,county,state,2010 Population,area,land_area,density,CBSA,MsaName,MetroShort,2019 Population,MOE_2019,wfh_wage,wfh_emp,estab_count,density2019,lat,lon,cbd_lon,cbd_lat,CityHallLat,CityHallLon,GoogleEarthLat,GoogleEarthLon,dist_to_cbd,dist_to_city_hall,dist_to_google
1431,27.36934167710657,4.637479564854852,017,25,3074,24.089480308880308,23.702596525096524,129.69043272306564,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",3220,25,0.394060347130352,0.3594602289293546,60,135.85009543535176,42.676293,-71.832523,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,72879.88605015136,72712.485916682,72609.35220131114
1432,27.240083149688303,3.41119069395512,017,25,7089,8.921961003861004,8.450989189189189,838.836713821443,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",7699,259,0.4336212166130317,0.3887579480030293,331,911.0176131628284,42.566573,-71.575135,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,48518.05126955806,48354.784921609345,48250.08887304601
1434,40.93667023327387,NA,017,25,1795,5.436077992277992,5.28116138996139,339.8873595137608,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",1969,428,0.4606650194139726,0.4186430800061122,57,372.834657873312,42.539088,-71.611613,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,49831.353528640335,49706.27238221575,49589.24349362576
1450,29.86310148870134,3.695193792678379,017,25,10646,33.75663088803089,32.7620583011583,324.9490585157652,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",11313,28,0.46360310845377134,0.4202203838977569,336,345.3079747312467,42.61176,-71.565269,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,50468.17806923549,50262.29360252798,50172.74326865166
1460,28.38486637703495,2.275343932674435,017,25,8924,17.5192,16.521879922779924,540.1322392917182,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",10071,23,0.4899759971321589,0.4474600997395308,495,609.5553319035067,42.535931,-71.490569,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,40799.98185287272,40633.0317204864,40529.49485179087
1463,27.639030999795146,3.2996376028889696,017,25,11497,23.196796138996135,22.599771042471044,508.7219679524207,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",12105,24,0.42623986059942615,0.3791544548946974,354,535.6248953695792,42.670643,-71.602858,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,56825.63201267488,56591.636581290455,56512.97211031808
1464,25.543142357373117,4.084589111007171,017,25,7211,15.092241312741312,15.013463706563709,480.30222345343515,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",7633,20,0.4278096293961768,0.3815350570157641,148,508.4103275024366,42.573654,-71.640986,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,53660.80081059464,53513.68421322901,53403.67976172849
1469,27.13090805611868,5.457866212286685,017,25,6801,23.115127027027025,22.880875675675675,297.23512755370825,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",7670,291,0.410704508555882,0.36449121792420486,184,335.2144432196651,42.665059,-71.695333,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,62620.31833070175,62421.7830647343,62329.60301989589
1474,28.5714567446735,5.054421974613485,017,25,2125,9.949376447876448,9.91918918918919,214.23121985776953,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",1803,288,0.41100476725870344,0.3649636547138688,15,181.76888913108633,42.669685,-71.752751,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,66868.39204064959,66684.004479315,66586.74840377219
1701,21.967714225685555,3.0144469920170294,017,25,31217,17.659992664092663,16.95874749034749,1840.760941677324,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",32590,765,0.473069644432326,0.43178328969265384,2258,1921.722109403978,42.320169,-71.440409,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,31646.35261757575,31783.706269490005,31608.494744353076
1702,22.41954276939721,3.9190401422828898,017,25,37206,8.853264092664093,8.09170193050193,4598.043813224359,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",39799,780,0.43755220562360425,0.3912978661803779,1691,4918.495557773376,42.282576,-71.43676,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,32142.960393694404,32339.31623097188,32157.670886813143
1719,28.95915646394708,1.8976374883980136,017,25,4996,10.407865250965251,10.285744401544402,485.7208000667265,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",5561,20,0.5144614241197826,0.46862115834231743,168,540.6511947900452,42.485985,-71.520985,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,40695.53579133568,40598.18135193461,40472.74720000304
1720,28.932796433826834,1.0344072959680433,017,25,21361,20.143181853281853,19.71313320463321,1083.5923330026246,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",22791,304,0.5224370272459451,0.48143543418891727,1306,1156.132805648744,42.483953,-71.438495,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,34358.62029565779,34231.581723726056,34114.948609324056
1721,25.241222689713716,3.0216087299246515,017,25,16593,12.868427027027026,12.329492277992278,1345.79750940904,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",17710,24,0.4710792702402696,0.42687671349877376,693,1436.3932918480143,42.257755,-71.473526,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,35822.557799277405,36041.77230878546,35858.41871257994
