iso3,pce_real_usd,share,indicator
GBR,1939147,0.012453284,C$
USA,14570610,0.09357307,C$
URY,38908.21,0.00024987,C$
UZB,85850.77,0.000551337,C$
VUT,600.75,3.85804E-06,C$
VEN,49140.92,0.000315585,C$
VNM,200496,0.001287594,C$
VUK,503.66,3.23453E-06,C$
WEU,9526765,0.061181285,C$
WLD,50316820,0.323136734,C$
YEM,22922.46,0.000147209,C$
ZMB,10592.33,6.80244E-05,C$
ZWE,16680.94,0.000107126,C$
