zip,post_net,post_bus,post_pop,post_temp,post_perm,pre_net,pre_bus,pre_pop,pre_temp,pre_perm,post_pct_change,pre_pct_change,county,state,2010 Population,area,land_area,density,CBSA,MsaName,MetroShort,2019 Population,MOE_2019,wfh_wage,wfh_emp,estab_count,density2019,lat,lon,cbd_lon,cbd_lat,CityHallLat,CityHallLon,GoogleEarthLat,GoogleEarthLon,dist_to_cbd,dist_to_city_hall,dist_to_google,pp_growth
1701,-0.10432648051549556,4.561558901682905,-1.0607548327707883,-1.0607548327707883,-0.6351641607855171,-0.09205277692543726,1.3728963684676705,-0.4099416999079471,-0.4099416999079471,0.39889536667689474,NA,NA,017,25,31217,17.659992664092663,16.95874749034749,1840.760941677324,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",32590,765,0.473069644432326,0.43178328969265384,2258,1921.722109403978,42.320169,-71.440409,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,31646.35261757575,31783.706269490005,31608.494744353076,NA
1702,-6.0127138872836,-11.827321111768184,-7.129576120003016,-7.129576120003016,-5.625769491695771,-6.495138068795699,-11.886457717327026,-7.801954822985502,-7.801954822985502,-6.145883062388502,NA,NA,017,25,37206,8.853264092664093,8.09170193050193,4598.043813224359,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",39799,780,0.43755220562360425,0.3912978661803779,1691,4918.495557773376,42.282576,-71.43676,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,32142.960393694404,32339.31623097188,32157.670886813143,NA
1720,-0.4519327804835242,-4.747320061255743,-0.680970558553815,-0.680970558553815,-0.28958799526128737,-0.8994778640691502,-6.66156202143951,-0.9736299416436311,-0.9736299416436311,-0.2676495107717959,NA,NA,017,25,21361,20.143181853281853,19.71313320463321,1083.5923330026246,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",22791,304,0.5224370272459451,0.48143543418891727,1306,1156.132805648744,42.483953,-71.438495,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,34358.62029565779,34231.581723726056,34114.948609324056,NA
1721,-1.597967250141163,-5.339105339105339,-2.0525127046866176,-2.0525127046866176,-1.8407679277244495,1.6883116883116882,1.7316017316017316,1.9384528514963295,1.9384528514963295,2.2529644268774702,NA,NA,017,25,16593,12.868427027027026,12.329492277992278,1345.79750940904,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",17710,24,0.4710792702402696,0.42687671349877376,693,1436.3932918480143,42.257755,-71.473526,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,35822.557799277405,36041.77230878546,35858.41871257994,NA
1730,0.24164889836531628,-6.2983425414364635,0.28002842928216065,0.28002842928216065,1.0660980810234542,-1.0660980810234542,-6.629834254143646,-0.8742004264392323,-0.8742004264392323,-0.7249466950959489,NA,NA,017,25,13221,13.87601003861004,13.69808725868726,965.1712498484274,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",14070,52,0.5058734993989608,0.4637420308552543,905,1027.1507061014577,42.499331,-71.281905,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,24390.005865718,24136.71196188573,24065.439223983743,NA
1742,1.772919826368914,-4.829931972789116,2.1536530516186394,2.1536530516186394,2.2592960619214475,0.5648240154803619,-5.510204081632653,1.0376026358454056,1.0376026358454056,0.868155431201297,NA,NA,017,25,17726,25.745458687258687,24.438667953667952,725.3259479447013,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",19121,104,0.5152672869789822,0.4767179297366091,1470,782.4076187888205,42.462911,-71.364496,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,27862.05594769159,27729.044693660857,27614.121111455388,NA
1748,3.284464143652688,3.9390088945362134,3.8049778383907262,3.8049778383907262,2.909421525173315,5.29605637004205,1.5247776365946633,6.867825889305602,6.867825889305602,5.307421297874758,NA,NA,017,25,14925,27.888745945945946,26.2613111969112,568.3265351105335,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",17598,30,0.48588025480175223,0.4396035357374218,787,670.1112472278171,42.224104,-71.540484,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,42261.6644750918,42499.45322693689,42315.05846275043,NA
1749,-1.2822446824558758,1.4380530973451326,-2.1722733443958364,-2.1722733443958364,-0.9905968723286568,-3.972444310353497,-5.641592920353982,-5.00729119525318,-5.00729119525318,-3.479660079448886,NA,NA,017,25,19063,11.86549111969112,11.5217555984556,1654.522163493491,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",19887,23,0.4394591733679706,0.39078450910668194,904,1726.0390424064972,42.389071,-71.545864,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,40244.96835499293,40278.37429947995,40120.757136732944,NA
1752,-5.128850412723978,-11.77737881508079,-5.939953694382927,-5.939953694382927,-4.9929534930541575,-6.044896315683511,-2.9802513464991023,-7.948208173948057,-7.948208173948057,-5.820918059190658,NA,NA,017,25,38499,22.10125057915058,20.86536718146718,1845.1149057273808,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",39736,24,0.44190825537981543,0.3940056084353271,2785,1904.399747889119,42.349617,-71.547214,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,40192.74152954493,40278.47907357181,40111.1245178992,NA
1754,2.073647015064162,4.390243902439024,1.3706527803607962,1.3706527803607962,2.5106936953691648,-1.1530593267621352,-7.804878048780488,-1.5073461037753395,-1.5073461037753395,-1.2181513855309654,NA,NA,017,25,10106,5.370381853281853,5.213210038610039,1938.5368947640736,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",10754,29,0.4760759088362965,0.4386659992946707,410,2062.836509627236,42.425955,-71.456256,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,33629.20019301081,33594.51139555211,33452.142505613505,NA
1760,-1.3030955510192668,-1.2903225806451613,-1.7991666899695198,-1.7991666899695198,-0.7773831827969017,-0.59002824305808,-2.7016129032258065,-1.0310114370403511,-1.0310114370403511,-0.18176225497049855,NA,NA,017,25,32786,15.814033976833976,14.810542857142858,2213.693334285036,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",35761,197,0.4882511617157669,0.4499430592656589,2480,2414.56375670613,42.284822,-71.348811,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,25120.736916212853,25345.241938295618,25161.492768385197,NA
1778,1.7603634298693924,1.7915309446254073,1.5999432140829075,1.5999432140829075,2.6334469051675184,2.19335604770017,1.4657980456026058,2.659710391822828,2.659710391822828,2.8960817717206133,NA,NA,017,25,13109,16.011227413127415,15.208050965250964,861.9776478887986,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",14088,194,0.5160843581456459,0.475600719764874,614,926.3514458354866,42.343687,-71.381186,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,26560.45248627862,26663.399273122617,26493.05817405147,NA
1801,-1.888054708986843,-6.239253254728569,-1.7322034738224437,-1.7322034738224437,-1.2735697118362694,-2.720582769642459,-5.797101449275362,-2.87296513788746,-2.87296513788746,-2.334051884338066,12.062709144964758,0.7510809905713826,017,25,38903,12.9638166023166,12.652292664092665,3074.778700812629,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",40359,91,0.4379718751304532,0.39457297427848703,4071,3189.856658512117,42.488659,-71.154425,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,16840.09371248854,16456.95142005298,16451.62985700051,11.311628154393375
1803,-1.62748643761302,-0.209351011863224,-2.573236889692586,-2.573236889692586,-1.6419529837251357,-0.23508137432188067,5.059316120027914,-1.1688969258589512,-1.1688969258589512,0.0216998191681736,NA,NA,017,25,24487,11.821033976833975,11.695616216216216,2093.690451816319,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",27650,67,0.4722053230777308,0.4282920917711933,2866,2364.1336624625815,42.503227,-71.201713,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,20266.136450409205,19925.026954725312,19895.234683763443,NA
