zip,post_pct_change,pre_pct_change,county,state,2010 Population,area,land_area,density,CBSA,MsaName,MetroShort,2019 Population,MOE_2019,wfh_wage,wfh_emp,estab_count,density2019,lat,lon,cbd_lon,cbd_lat,CityHallLat,CityHallLon,GoogleEarthLat,GoogleEarthLon,dist_to_cbd,dist_to_city_hall,dist_to_google,pp_growth
1760,NA,NA,017,25,32786,15.814033976833976,14.810542857142858,2213.693334285036,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",35761,197,0.4882511617157669,0.4499430592656589,2480,2414.56375670613,42.284822,-71.348811,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,25120.736916212853,25345.241938295618,25161.492768385197,NA
1778,NA,NA,017,25,13109,16.011227413127415,15.208050965250964,861.9776478887986,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",14088,194,0.5160843581456459,0.475600719764874,614,926.3514458354866,42.343687,-71.381186,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,26560.45248627862,26663.399273122617,26493.05817405147,NA
1801,19.7802773554152,0.7510809905713826,017,25,38903,12.9638166023166,12.652292664092665,3074.778700812629,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",40359,91,0.4379718751304532,0.39457297427848703,4071,3189.856658512117,42.488659,-71.154425,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,16840.09371248854,16456.95142005298,16451.62985700051,19.02919636484382
1803,NA,NA,017,25,24487,11.821033976833975,11.695616216216216,2093.690451816319,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",27650,67,0.4722053230777308,0.4282920917711933,2866,2364.1336624625815,42.503227,-71.201713,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,20266.136450409205,19925.026954725312,19895.234683763443,NA
1810,NA,NA,009,25,33201,32.17093822393822,30.848458301158303,1076.2612405415853,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",35816,55,0.45705250869424663,0.40687890307798513,1915,1161.0304686978532,42.648044,-71.161751,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,33710.7889233656,33268.995837416005,33308.161940428014,NA
1821,NA,NA,017,25,30310,16.964009652509652,16.567811196911197,1829.4510747231843,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",32797,525,0.4389625933707104,0.39231020584177245,1272,1979.5614284954231,42.54933,-71.251725,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,26829.32149574577,26492.13296384395,26460.41924415358,NA
1824,NA,NA,017,25,24911,18.13630386100386,17.74699884169884,1403.6739519849646,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",25754,359,0.4586969526275396,0.4148023924525313,1472,1451.174941167387,42.59079,-71.355182,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,35807.23155773011,35511.44456899441,35459.24656890486,NA
1826,NA,NA,017,25,29422,21.28491274131274,20.625975675675676,1426.4537330322523,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",31294,99,0.4062656755835072,0.3620221815737432,977,1517.213075980943,42.679723,-71.30068,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,41251.435363518365,40871.28253628539,40864.43911943217,NA
1830,NA,NA,009,25,25137,15.091463706563706,13.797645173745174,1821.8326158895504,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",26305,892,0.39991729882698773,0.35488380526658675,873,1906.484742052537,42.796313,-71.053436,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,49139.76572890158,48662.26912099991,48747.56895629502,NA
1832,NA,NA,009,25,22060,11.842384942084944,11.359444015444016,1941.99645422855,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",23270,825,0.39344908829271497,0.34518857569036077,488,2048.5157520352836,42.791114,-71.132859,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,48938.1775377087,48474.71426455295,48537.23074559036,NA
