zip,post_net,post_bus,post_pop,post_temp,post_perm,pre_net,pre_bus,pre_pop,pre_temp,pre_perm,county,state,2010 Population,area,land_area,density,CBSA,MsaName,MetroShort,2019 Population,MOE_2019,wfh_wage,wfh_emp,density2019,lat,lon,cbd_lon,cbd_lat,CityHallLat,CityHallLon,GoogleEarthLat,GoogleEarthLon,dist_to_cbd,dist_to_city_hall,dist_to_google,estab_count,teleworkable_emp_mean,teleworkable_wage_mean
1431,-2.236024844720497,-10,-2.2267080745341614,-2.2267080745341614,-1.0869565217391304,-0.9937888198757764,0,-1.372670807453416,-1.372670807453416,-0.7453416149068323,017,25,3074,24.089480308880308,23.702596525096524,129.69043272306564,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",3220,25,0.394060347130352,0.3594602289293546,135.85009543535176,42.676293,-71.832523,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,72879.88605015136,72712.485916682,72609.35220131114,60,0.27825364295,0.3313241935166667
1432,-0.15586439797376284,0,-0.03117287959475256,-0.03117287959475256,-0.0129886998311469,-0.8962202883491363,0,-1.161189764904533,-1.161189764904533,-0.662423691388492,017,25,7089,8.921961003861004,8.450989189189189,838.836713821443,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",7699,259,0.4336212166130317,0.3887579480030293,911.0176131628284,42.566573,-71.575135,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,48518.05126955806,48354.784921609345,48250.08887304601,331,0.30841644483383684,0.3665130887432024
1434,1.8283392585068563,0,1.2239715591670899,1.2239715591670899,1.5236160487557135,-0.050787201625190445,0,0,0,0,017,25,1795,5.436077992277992,5.28116138996139,339.8873595137608,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",1969,428,0.4606650194139726,0.4186430800061122,372.834657873312,42.539088,-71.611613,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,49831.353528640335,49706.27238221575,49589.24349362576,57,0.549415764122807,0.6282521327192984
1450,2.360116679925749,0,2.7437461327676123,2.7437461327676123,2.351277291611421,1.1756386458057104,2.083333333333333,1.4275612127640769,1.4275612127640769,0.9988508795191373,017,25,10646,33.75663088803089,32.7620583011583,324.9490585157652,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",11313,28,0.46360310845377134,0.4202203838977569,345.3079747312467,42.61176,-71.565269,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,50468.17806923549,50262.29360252798,50172.74326865166,336,0.35969639990476193,0.410325911797619
1460,1.439777579187767,-6.666666666666667,2.3572634296494885,2.3572634296494885,2.39300963161553,1.141892562804091,5.252525252525253,1.0733790090358455,1.0733790090358455,1.4000595770032769,017,25,8924,17.5192,16.521879922779924,540.1322392917182,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",10071,23,0.4899759971321589,0.4474600997395308,609.5553319035067,42.535931,-71.490569,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,40799.98185287272,40633.0317204864,40529.49485179087,495,0.3872493622363637,0.45439645668484846
1463,2.0983064849235853,0,2.2635274679884345,2.2635274679884345,2.2470053696819496,-0.033044196612969846,0,-0.33952912019826514,-0.33952912019826514,-0.107393638992152,017,25,11497,23.196796138996135,22.599771042471044,508.7219679524207,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",12105,24,0.42623986059942615,0.3791544548946974,535.6248953695792,42.670643,-71.602858,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,56825.63201267488,56591.636581290455,56512.97211031808,354,0.3330751444237288,0.386413613740113
1464,0.3668282457749247,0,-0.38516965806367087,-0.38516965806367087,0.7598585091052011,-0.2751211843311935,0,-0.24498886414253893,-0.24498886414253893,0.026202017555351766,017,25,7211,15.092241312741312,15.013463706563709,480.30222345343515,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",7633,20,0.4278096293961768,0.3815350570157641,508.4103275024366,42.573654,-71.640986,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,53660.80081059464,53513.68421322901,53403.67976172849,148,0.38882548228378383,0.4575683429324325
1469,-2.8292046936114734,-8.695652173913043,-3.7301173402868324,-3.7301173402868324,-3.1812255541069105,-0.5606258148631029,0,-0.4641460234680573,-0.4641460234680573,-0.3650586701434159,017,25,6801,23.115127027027025,22.880875675675675,297.23512755370825,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",7670,291,0.410704508555882,0.36449121792420486,335.2144432196651,42.665059,-71.695333,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,62620.31833070175,62421.7830647343,62329.60301989589,184,0.27828975580434784,0.32824684322826087
1474,-1.6084303937881308,0,-2.440377149195785,-2.440377149195785,-0.6655574043261231,-1.6084303937881308,0,-1.497504159733777,-1.497504159733777,-0.8319467554076538,017,25,2125,9.949376447876448,9.91918918918919,214.23121985776953,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",1803,288,0.41100476725870344,0.3649636547138688,181.76888913108633,42.669685,-71.752751,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,66868.39204064959,66684.004479315,66586.74840377219,15,0.22533925333333335,0.26648762933333336
1701,-0.4633323105247008,3.4986713906111606,-1.5053697453206505,-1.5053697453206505,-0.6873274010432648,-0.15648972077324333,-1.328609388839681,-0.256213562442467,-0.256213562442467,-0.21172138692850567,017,25,31217,17.659992664092663,16.95874749034749,1840.760941677324,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",32590,765,0.473069644432326,0.43178328969265384,1921.722109403978,42.320169,-71.440409,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,31646.35261757575,31783.706269490005,31608.494744353076,2258,0.4371230767736935,0.4975082418312666
