zip,post_pct_change,pre_pct_change,county,state,2010 Population,area,land_area,density,CBSA,MsaName,MetroShort,2019 Population,MOE_2019,wfh_wage,wfh_emp,estab_count,density2019,lat,lon,cbd_lon,cbd_lat,CityHallLat,CityHallLon,GoogleEarthLat,GoogleEarthLon,dist_to_cbd,dist_to_city_hall,dist_to_google,pp_growth
1453,NA,NA,027,25,40883,28.9983583011583,28.46944362934363,1436.0308733909235,49340,"Worcester, MA-CT Metro Area","Worcester, MA",41647,75,0.379555154749542,0.3328456466978286,2087,1462.8666630167013,42.51996,-71.763075,-71.800301,42.263802,42.262471,-71.80158,42.262593,-71.802293,28679.14987414137,28837.83173955904,28830.829499100848,NA
1510,NA,NA,027,25,13606,7.268118532818533,5.654797683397684,2406.098460418276,49340,"Worcester, MA-CT Metro Area","Worcester, MA",13935,29,0.414089109806817,0.3669283741968553,376,2464.2791449308156,42.411887,-71.690005,-71.800301,42.263802,42.262471,-71.80158,42.262593,-71.802293,18817.993000456867,18998.60449727134,19015.151126317665,NA
1545,NA,NA,027,25,35299,21.78691776061776,20.738427027027026,1702.105948247528,49340,"Worcester, MA-CT Metro Area","Worcester, MA",37086,196,0.452792838091204,0.4134961410707107,1505,1788.2744892690396,42.284767,-71.714228,-71.800301,42.263802,42.262471,-71.80158,42.262593,-71.802293,7463.99070640171,7611.221617905504,7662.372420109679,NA
1570,NA,NA,027,25,16767,14.605976833976834,12.37400386100386,1355.018164560339,49340,"Worcester, MA-CT Metro Area","Worcester, MA",16973,27,0.3962239132609622,0.34840646884316806,597,1371.6659692898334,42.047532,-71.846952,-71.800301,42.263802,42.262471,-71.80158,42.262593,-71.802293,24380.932313468107,24218.09958728892,24222.49450291687,NA
1581,NA,NA,027,25,18272,21.44485328185328,20.58412277992278,887.6744564418376,49340,"Worcester, MA-CT Metro Area","Worcester, MA",19037,37,0.4782537256808629,0.43596502246391544,1759,924.8390229467634,42.268426,-71.613309,-71.800301,42.263802,42.262471,-71.80158,42.262593,-71.802293,15412.930415287554,15524.020123976949,15582.11713033062,NA
1602,NA,NA,027,25,22819,6.010993436293436,5.7671370656370655,3956.729264501936,49340,"Worcester, MA-CT Metro Area","Worcester, MA",22900,931,0.39475099581409134,0.3628836792846268,546,3970.7743615887784,42.271563,-71.849991,-71.800301,42.263802,42.262471,-71.80158,42.262593,-71.802293,4183.523301902051,4114.452184074725,4054.176885155523,NA
1603,NA,NA,027,25,19916,4.645631274131274,4.514204247104247,4411.8517705032145,49340,"Worcester, MA-CT Metro Area","Worcester, MA",19731,1226,0.3736856031561013,0.3329266703593977,681,4370.870018266666,42.244637,-71.843925,-71.800301,42.263802,42.262471,-71.80158,42.262593,-71.802293,4179.871437478955,4014.330821180318,3970.1933714020897,NA
1604,NA,NA,027,25,34677,6.622367181467181,6.439288030888031,5385.222688232157,49340,"Worcester, MA-CT Metro Area","Worcester, MA",38191,1500,0.3795089486792369,0.34223458203911544,1264,5930.935192960012,42.253254,-71.767957,-71.800301,42.263802,42.262471,-71.80158,42.262593,-71.802293,2912.0341161325728,2954.1198380616047,3013.9312936048805,NA
1605,NA,NA,027,25,26221,5.77371776061776,5.641938223938224,4647.516324930095,49340,"Worcester, MA-CT Metro Area","Worcester, MA",28533,1128,0.3776493392147405,0.34083913040125347,1020,5057.304576455146,42.289683,-71.787793,-71.800301,42.263802,42.262471,-71.80158,42.262593,-71.802293,3059.7190988812677,3235.084506972725,3243.5324899706684,NA
1606,NA,NA,027,25,19077,5.939033204633205,5.9297517374517374,3217.1667288381595,49340,"Worcester, MA-CT Metro Area","Worcester, MA",19896,957,0.39288197081458753,0.35845895401636924,723,3355.2838096642045,42.315249,-71.795741,-71.800301,42.263802,42.262471,-71.80158,42.262593,-71.802293,5739.351418489133,5894.863802060669,5886.419438632352,NA
