MetroShort,post_net,post_bus,post_pop,post_temp,post_perm,pre_net,pre_bus,pre_pop,pre_temp,pre_perm,2010 Population,2019 Population,area,land_area,estab_count,density,density2019,AREA,Msa,MsaName,end,teleworkable_manual_emp,teleworkable_manual_wage,wfh_emp,wfh_wage,MetroState,price_level,cbd_lon,cbd_lat
"Appleton, WI",-1.8536691993997947,-4.326515793295414,-2.3255909267890607,-2.3255909267890607,-0.9538165183989361,-0.9706659866160575,-1.7245552462785914,-1.1803052486093497,-1.1803052486093497,-0.590186778632142,417537,439183,1846.101988030888,1822.5607714285711,16526,229.09359542108623,240.97029129830153,11540,"Appleton, WI",Appleton,WI,0.29332155,0.35994455,0.32069758,0.38529652,WI,205926.8021925995,-88.409599,44.261902
"Asheville, NC",1.9541956768708446,1.6588199058388702,2.162851093429393,2.162851093429393,0.8709057725309255,0.31486928781538714,0.4884058608703304,0.278040047710111,0.278040047710111,0.13432097042540062,428985,458603,2103.551106949807,2094.9866706563707,22727,204.76741260869056,218.9049727253478,11700,"Asheville, NC",Asheville,NC,0.22882566,0.26964962,0.27794152,0.31634319,NC,275768.8205784874,-82.5532,35.5951
"Athens, GA",-1.3773404832364067,-2.622144832530984,-1.6053294700054244,-1.6053294700054244,-1.31039596822367,-0.802304264537259,-1.2496158967530473,-0.9243149344630364,-0.9243149344630364,-0.7422258536283927,265878,291286,1585.5511046332049,1570.0734583011583,9763,169.34112133051644,185.52380365385935,12020,"Athens-Clarke County, GA",Athens-Clarke County,GA,0.27503628,0.33523348,0.34712631,0.40519637,GA,213989.93263191293,-83.3731,33.959499
"Atlanta, GA",-0.09697792620658727,-1.3862284691976092,-0.3430419419546843,-0.3430419419546843,-0.31035265986257027,-0.13936000891904057,-0.5318773037168182,-0.2306470547614115,-0.2306470547614115,-0.2055206531533218,5430554,6009615,10367.38131158301,10192.647372972971,268859,532.7913152769088,589.6029539818296,12060,"Atlanta-Sandy Springs-Roswell, GA",Atlanta-Sandy Springs-Roswell,GA,0.35666603,0.49576303,0.40385821,0.53915775,GA,238978.65581588383,-84.389099,33.756199
"Atlantic City, NJ",0.43624151791024546,0.7515628292477348,0.5663394163713668,0.5663394163713668,-0.013001491022055509,-0.2334735834598904,-0.5057245206152982,-0.23361189719416756,-0.23361189719416756,-0.27635084108581814,372075,361497,865.0731150579151,810.7232498069499,14237,458.9420620274537,445.8944529913013,12100,"Atlantic City-Hammonton, NJ",Atlantic City-Hammonton,NJ,0.23016249,0.30331406,0.31230041,0.36562926,NJ,223157.95658645328,-74.429901,39.361401
"Auburn, AL",-1.7879205963510565,-0.06606110652353427,-1.9656315637741444,-1.9656315637741444,-1.7549730241752812,-0.795889790371072,0.7927332782824111,-0.9021457106379475,-0.9021457106379475,-0.7207281413450847,174533,194248,728.228113899614,719.6475193050193,6055,242.52567446984415,269.92103048946785,12220,"Auburn-Opelika, AL",Auburn-Opelika,AL,0.22107916,0.28251991,0.28019658,0.33848035,AL,223115.9276985076,-85.480901,32.60824
"Augusta, GA",0.3849716291631965,0.9273318872017353,0.19116262054686836,0.19116262054686836,0.1804213983825899,-0.22649968476847995,0.4880694143167028,-0.396102026043572,-0.396102026043572,-0.24844913875635327,607613,642385,4687.245382239382,4594.418318532818,18440,132.25025626182753,139.8185701569158,12260,"Augusta-Richmond County, GA-SC",Augusta-Richmond County,GA-SC,0.26595157,0.33461559,0.30150679,0.35787222,GA,152113.27993910003,-81.965797,33.475899
"Austin, TX",0.3451990830204483,-1.8067572721980205,0.196584838977509,0.196584838977509,0.5403235879763996,0.4810836229509401,0.1997470539818923,0.5612412655493427,0.5612412655493427,0.49274792614199964,1775659,2177584,5870.20088030888,5793.022355212355,99626,306.5168561627119,375.8977380849717,12420,"Austin-Round Rock, TX",Austin-Round Rock,TX,0.39755037,0.52127868,0.45512399,0.57666129,TX,313189.053620816,-97.746995,30.264924
"Bakersfield, CA",-1.667557587954145,-2.957135105805752,-2.1233199770007545,-2.1233199770007545,-1.5963587522909404,-0.606200812160851,-0.9133658889491771,-0.7988194918604233,-0.7988194918604233,-0.5980028389693464,843086,890464,6608.706251351351,6577.331714671815,22116,128.1805504988229,135.38377546227056,12540,"Bakersfield, CA",Bakersfield,CA,0.24432419,0.31218782,0.29072604,0.35714224,CA,230207.4937550361,-119.019,35.377701
"Baltimore, MD",-1.0454657330846613,-2.70438425484259,-1.2705659435362378,-1.2705659435362378,-1.1077854479264515,-0.38438660070113184,-0.9058857688000332,-0.46749239121796177,-0.46749239121796177,-0.4106799185922466,2769977,2856239,3036.3087976833976,2854.2763447876446,120545,970.4655980695112,1000.6876191984492,12580,"Baltimore-Columbia-Towson, MD",Baltimore-Columbia-Towson,MD,0.35200542,0.46967423,0.4155007,0.52644682,MD,297783.08291631675,-76.613998,39.2901
