zip,post_net,post_bus,post_pop,post_temp,post_perm,pre_net,pre_bus,pre_pop,pre_temp,pre_perm,post_pct_change,pre_pct_change,county,state,2010 Population,area,land_area,density,CBSA,MsaName,MetroShort,2019 Population,MOE_2019,wfh_wage,wfh_emp,estab_count,density2019,lat,lon,cbd_lon,cbd_lat,CityHallLat,CityHallLon,GoogleEarthLat,GoogleEarthLon,dist_to_cbd,dist_to_city_hall,dist_to_google
1431,-1.894409937888199,-10,-2.1335403726708075,-2.1335403726708075,-1.3354037267080745,-2.857142857142857,0,-3.645962732919254,-3.645962732919254,-1.5838509316770186,22.628110476660268,4.637479564854852,017,25,3074,24.089480308880308,23.702596525096524,129.69043272306564,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",3220,25,0.394060347130352,0.3594602289293546,60,135.85009543535176,42.676293,-71.832523,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,72879.88605015136,72712.485916682,72609.35220131114
1432,0.4546044940901416,0,0.4766852838030914,0.4766852838030914,0.32471749577867254,-1.052084686322899,0,-1.759968827120405,-1.759968827120405,-0.24678529679179115,22.3029306974949,3.41119069395512,017,25,7089,8.921961003861004,8.450989189189189,838.836713821443,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",7699,259,0.4336212166130317,0.3887579480030293,331,911.0176131628284,42.566573,-71.575135,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,48518.05126955806,48354.784921609345,48250.08887304601
1434,3.3011681056373794,0,1.22397155916709,1.22397155916709,2.945657694261046,0.4062976130015235,0,0,0,0.4062976130015235,30.179731532178423,NA,017,25,1795,5.436077992277992,5.28116138996139,339.8873595137608,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",1969,428,0.4606650194139726,0.4186430800061122,57,372.834657873312,42.539088,-71.611613,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,49831.353528640335,49706.27238221575,49589.24349362576
1450,2.2010076902678333,0,2.634137717669937,2.634137717669937,1.988862370723946,2.0065411473526034,0.2976190476190476,3.11942013612658,3.11942013612658,1.8916290992663307,24.10278320470184,3.695193792678379,017,25,10646,33.75663088803089,32.7620583011583,324.9490585157652,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",11313,28,0.46360310845377134,0.4202203838977569,336,345.3079747312467,42.61176,-71.565269,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,50468.17806923549,50262.29360252798,50172.74326865166
1460,1.886605103763281,-5.454545454545454,2.7226690497467976,2.7226690497467976,2.323503127792672,1.539072584648992,5.252525252525253,2.001787310098302,2.001787310098302,2.5717406414457353,23.290841102360357,2.275343932674435,017,25,8924,17.5192,16.521879922779924,540.1322392917182,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",10071,23,0.4899759971321589,0.4474600997395308,495,609.5553319035067,42.535931,-71.490569,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,40799.98185287272,40633.0317204864,40529.49485179087
1463,2.5526641883519208,0,2.7162329615861216,2.7162329615861216,2.437009500206526,-1.3713341594382489,0,-1.90665014456836,-1.90665014456836,-0.983064849235853,23.26403219897919,3.2996376028889696,017,25,11497,23.196796138996135,22.599771042471044,508.7219679524207,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",12105,24,0.42623986059942615,0.3791544548946974,354,535.6248953695792,42.670643,-71.602858,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,56825.63201267488,56591.636581290455,56512.97211031808
1464,1.2314948251015327,0,0.5738241844622036,0.5738241844622036,1.2445958338792087,-0.7074544739944976,0,-0.4624656098519585,-0.4624656098519585,-0.3668282457749247,22.25755646459068,4.084589111007171,017,25,7211,15.092241312741312,15.013463706563709,480.30222345343515,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",7633,20,0.4278096293961768,0.3815350570157641,148,508.4103275024366,42.573654,-71.640986,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,53660.80081059464,53513.68421322901,53403.67976172849
1469,-2.1512385919165578,-8.695652173913043,-2.9335071707953064,-2.9335071707953064,-2.646675358539765,-1.4732724902216427,0,-1.4406779661016949,-1.4406779661016949,-0.7953063885267276,22.773413755388443,5.457866212286685,017,25,6801,23.115127027027025,22.880875675675675,297.23512755370825,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",7670,291,0.410704508555882,0.36449121792420486,184,335.2144432196651,42.665059,-71.695333,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,62620.31833070175,62421.7830647343,62329.60301989589
1474,-0.2218524681087077,0,-2.2739877981142542,-2.2739877981142542,-0.49916805324459235,-1.8302828618968388,0,-1.109262340543539,-1.109262340543539,0.776483638380477,21.90762406582277,5.054421974613485,017,25,2125,9.949376447876448,9.91918918918919,214.23121985776953,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",1803,288,0.41100476725870344,0.3649636547138688,15,181.76888913108633,42.669685,-71.752751,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,66868.39204064959,66684.004479315,66586.74840377219
1701,-0.10432648051549556,4.561558901682905,-1.0607548327707883,-1.0607548327707883,-0.6351641607855171,-0.09205277692543726,1.3728963684676705,-0.4099416999079471,-0.4099416999079471,0.39889536667689474,19.07179305012089,3.01444699201703,017,25,31217,17.659992664092663,16.95874749034749,1840.760941677324,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",32590,765,0.473069644432326,0.43178328969265384,2258,1921.722109403978,42.320169,-71.440409,-71.058701,42.3549,42.359184,-71.057761,42.358431,-71.059773,31646.35261757575,31783.706269490005,31608.494744353076
