MetroShort,post_pct_change,pre_pct_change,2010 Population,2019 Population,area,land_area,estab_count,density,density2019,AREA,Msa,MsaName,end,teleworkable_manual_emp,teleworkable_manual_wage,wfh_emp,wfh_wage,MetroState,price_level,cbd_lon,cbd_lat
"Kalamazoo, MI",24.885079985342664,6.580133228906833,353652,362177,1223.153525868726,1183.903404633205,11617,298.71693806773703,305.9176944526223,28020,"Kalamazoo-Portage, MI",Kalamazoo-Portage,MI,0.27961016,0.35184675,0.32143331,0.38785452,MI,181694.7539416703,-85.584099,42.290699
"Kankakee, IL",21.822252229274262,4.8582385987939425,98027,95939,516.896733976834,512.4626853281853,3163,191.28612249538267,187.21167949732745,28100,"Kankakee, IL",Kankakee,IL,0.21985066,0.25413939,0.27724481,0.29689351,IL,145669.75159772098,-87.861547,41.117357
"Kansas City, MO",29.673008011272213,5.295764116376296,2134909,2250731,9722.363322007724,9577.907863320464,91200,222.89930436435324,234.9919243449183,28140,"Kansas City, MO-KS",Kansas City,MO-KS,0.34792081,0.4454512,0.39479804,0.48864263,MO,203943.5548825452,-94.583504,39.101601
"Kennewick, WA",27.75501909093109,9.914632693628024,306508,345468,3927.7993285714288,3838.6553613899614,12633,79.84775165880343,89.99713896558494,28420,"Kennewick-Richland, WA",Kennewick-Richland,WA,0.27111742,0.33908379,0.31663498,0.35940728,WA,295423.22881406546,-119.120164,46.202718
"Killeen, TX",41.89579844903096,5.96702119074598,433621,473774,4183.372983783784,4132.20367992278,10946,104.9369860703728,114.65407726679474,28660,"Killeen-Temple, TX",Killeen-Temple,TX,0.30000001,0.33442914,0.36031473,0.38821179,TX,162247.43475589922,-97.728996,31.122101
"Kingsport, TN",30.222407656474765,7.844043495619044,317710,312277,2536.071245173745,2500.129338996139,8795,127.07742557333778,124.90433799932391,28700,"Kingsport-Bristol-Bristol, TN-VA",Kingsport-Bristol-Bristol,TN-VA,0.24874286,0.32238421,0.28158811,0.34237808,TN,144697.1476204808,-82.559402,36.5466
"Kingston, NY",41.671684666226014,5.339162024189681,212549,208534,1448.6674945945945,1434.4747555984557,8144,148.17200454066244,145.37307065609576,28740,"Kingston, NY",Kingston,NY,0.27460095,0.30111599,0.33760926,0.35644352,NY,237134.88194407817,-73.996169,41.927154
"Knoxville, TN",41.81623818898385,7.873148689462527,689520,730450,2233.630062162162,2146.718705405405,25844,321.19718259490594,340.26349058250526,28940,"Knoxville, TN",Knoxville,TN,0.29700688,0.38854551,0.34945592,0.42547292,TN,189039.00565764811,-83.919998,35.9646
"Kokomo, IN",28.561904771331935,5.057064985171132,102310,102569,609.5957096525096,608.5778976833977,3518,168.11323643111507,168.5388187616366,29020,"Kokomo, IN",Kokomo,IN,0.22189923,0.2752988,0.23751345,0.26009741,IN,113520.24651171346,-86.1306,40.487701
"La Crosse, WI",26.34010098774452,5.495742282650441,173852,177641,1857.1404548262549,1825.4288575289577,6522,95.23898961219425,97.31466623162116,29100,"La Crosse-Onalaska, WI-MN",La Crosse-Onalaska,WI-MN,0.28367144,0.34944367,0.32613766,0.37473899,WI,201685.02935546584,-91.2621,43.814999
