city,iso,country,country2,gdp_capita,top_city,continent,new_city,population2,cbsa_code,gdp_capita_usa,population,final_sample
Eindhoven,NLD,Netherlands,Netherlands,59686.618,1,W_Europe,Eindhoven,235691,NA,NA,235691,0
Groningen,NLD,Netherlands,Netherlands,59686.618,1,W_Europe,Groningen,233273,NA,NA,233273,0
Rotterdam,NLD,Netherlands,Netherlands,59686.618,1,Asia,Rotterdam,631155,NA,NA,631155,1
Utrecht,NLD,Netherlands,Netherlands,59686.618,NA,W_Europe,Utrecht,359370,NA,NA,359370,0
Auckland,NZL,New Zealand,New Zealand,43957.557,NA,W_Europe,Auckland,1346091,NA,NA,1346091,1
Wellington,NZL,New Zealand,New Zealand,43957.557,NA,W_Europe,Wellington,418500,NA,NA,418500,0
Oslo,NOR,Norway,Norway,66641.423,NA,W_Europe,Oslo,1064235,NA,NA,1064235,1
Lima,PER,Peru,Peru,13432.869,NA,W_Europe,Lima,10320000,NA,NA,10320000,1
Manila,PHL,Philippines,Philippines,9364.387,NA,W_Europe,Manila,24922000,NA,NA,24922000,1
Gdansk,POL,Poland,Poland,34669.21,NA,W_Europe,Gdansk,486022,NA,NA,486022,0
Krakow,POL,Poland,Poland,34669.21,1,W_Europe,Krakow,800653,NA,NA,800653,1
Lodz,POL,Poland,Poland,34669.21,NA,W_Europe,Lodz,690422,NA,NA,690422,1
Poznan,POL,Poland,Poland,34669.21,NA,W_Europe,Poznan,546859,NA,NA,546859,1
Szczecin,POL,Poland,Poland,34669.21,1,E_Europe,Szczecin,403833,NA,NA,403833,0
Warszawa,POL,Poland,Poland,34669.21,1,W_Europe,Warsaw,1860281,NA,NA,1860281,1
Wroclaw,POL,Poland,Poland,34669.21,1,E_Europe,Wroclaw,672929,NA,NA,672929,1
Warsaw,POL,Poland,Poland,34669.21,1,ROW,Warsaw,1860281,NA,NA,1860281,1
Lisbon,PRT,Portugal,Portugal,36473.117,1,Asia,Lisbon,2719000,NA,NA,2719000,1
Singapore,SGP,Singapore,Singapore,102630.741,NA,W_Europe,Singapore,5983000,NA,NA,5983000,1
Bratislava,SVK,Slovakia,Slovak Republic,34351.036,1,W_Europe,Bratislava,475503,NA,NA,475503,0
Ljubljana,SVN,Slovenia,Slovenia,41019.237,NA,W_Europe,Ljubljana,286745,NA,NA,286745,0
Cape Town,ZAF,South Africa,South Africa,14270.657,NA,W_Europe,Cape Town,433688,NA,NA,433688,0
Barcelona,ESP,Spain,Spain,42587.263,NA,W_Europe,Barcelona,4800000,NA,NA,4800000,1
Madrid,ESP,Spain,Spain,42587.263,NA,W_Europe,Madrid,6211000,NA,NA,6211000,1
Malmo,SWE,Sweden,Sweden,55667.104,1,W_Europe,Malmo,351749,NA,NA,351749,0
Stockholm,SWE,Sweden,Sweden,55667.104,1,English,Stockholm,1611776,NA,NA,1611776,1
Uppsala,SWE,Sweden,Sweden,55667.104,NA,English,Uppsala,166698,NA,NA,166698,0
Bern,CHE,Switzerland,Switzerland,73656.336,1,ROW,Bern,133883,NA,NA,133883,0
Geneve,CHE,Switzerland,Switzerland,73656.336,1,Asia,Geneva,201818,NA,NA,201818,0
Zurich,CHE,Switzerland,Switzerland,73656.336,NA,E_Europe,Zurich,436332,NA,NA,436332,0
Bangkok,THA,Thailand,Thailand,19213.636,NA,E_Europe,Bangkok,18007000,NA,NA,18007000,1
Dubai,ARE,United Arab Emirates,United Arab Emirates,72526.706,NA,E_Europe,Dubai,3331420,NA,NA,3331420,1
Sharjah,ARE,United Arab Emirates,United Arab Emirates,72526.706,NA,E_Europe,Sharjah,1247749,NA,NA,1247749,1
Belfast,GBR,United Kingdom,United Kingdom,49291.814,NA,E_Europe,Belfast,333871,NA,NA,333871,0
Birmingham,GBR,United Kingdom,United Kingdom,49291.814,NA,E_Europe,Birmingham,2919600,NA,NA,2919600,1
Edinburgh,GBR,United Kingdom,United Kingdom,49291.814,1,E_Europe,Edinburgh,488050,NA,NA,488050,0
Glasgow,GBR,United Kingdom,United Kingdom,49291.814,1,W_Europe,Glasgow,626410,NA,NA,626410,1
Leeds,GBR,United Kingdom,United Kingdom,49291.814,1,E_Europe,Leeds,789194,NA,NA,789194,1
Leicester,GBR,United Kingdom,United Kingdom,49291.814,1,Asia,Leicester,508916,NA,NA,508916,1
London,GBR,United Kingdom,United Kingdom,49291.814,1,E_Europe,London,11262000,NA,NA,11262000,1
Manchester,GBR,United Kingdom,United Kingdom,49291.814,NA,E_Europe,Manchester,2705000,NA,NA,2705000,1
Nottingham,GBR,United Kingdom,United Kingdom,49291.814,NA,W_Europe,Nottingham,768638,NA,NA,768638,1
Sheffield,GBR,United Kingdom,United Kingdom,49291.814,NA,W_Europe,Sheffield,518090,NA,NA,518090,1
