MetroShort,old_city_name,state,2010 Population,2019 Population,area,land_area,estab_count,density,density2019,AREA,Msa,MsaName.x,end.x,teleworkable_manual_emp,teleworkable_manual_wage,wfh_emp,wfh_wage,MetroState.x,price_level,cbd_lon,cbd_lat,cbsa_name,income_per_capita,population,MsaName.y,Metro,end.y,MetroState.y,us_income_per_capita,income_share,gdp_capita
"Phoenix, AZ",Phoenix,AZ,4232617,4809032,15649.681127027026,15623.58783822394,179247,270.9119725780705,307.80586698750767,38060,"Phoenix-Mesa-Scottsdale, AZ",Phoenix-Mesa-Scottsdale,AZ,0.34667766,0.44133058,0.38884294,0.48088622,AZ,287987.5896084475,-112.074,33.476898,"Phoenix-Mesa-Chandler, AZ Metro Area",32522,4761603,"Phoenix-Mesa-Chandler, AZ Metro Area",Phoenix,AZ Metro Area,AZ,34103,0.9536404421898367,62036.10360848019
"Riverside, CA",Riverside,CA,4170209,4505876,9874.33188957529,9828.782715830115,134303,424.28539937946874,458.43683091527623,40140,"Riverside-San Bernardino-Ontario, CA",Riverside-San Bernardino-Ontario,CA,0.248191,0.30152175,0.30143875,0.3496232,CA,377471.7253552921,-117.376,33.980202,"Riverside-San Bernardino-Ontario, CA Metro Area",27003,4560470,"Riverside-San Bernardino-Ontario, CA Metro Area",Riverside,CA Metro Area,CA,34103,0.7918071723895258,51508.54516142274
"Detroit, MI",Detroit,MI,4275414,4285707,4391.751215057915,4235.696669498069,171032,1009.376811797677,1011.80687249445,19820,"Detroit-Warren-Dearborn, MI",Detroit-Warren-Dearborn,MI,0.32424751,0.43224531,0.35065165,0.44599846,MI,178151.00853071414,-83.049103,42.332298,"Detroit-Warren-Dearborn, MI Metro Area",34078,4317848,"Detroit-Warren-Dearborn, MI Metro Area",Detroit,MI Metro Area,MI,34103,0.9992669266633434,65004.19220127261
"Seattle, WA",Seattle,WA,3406020,3835346,4920.597171814672,4687.218837451737,193259,726.6611861143065,818.2562267745817,42660,"Seattle-Tacoma-Bellevue, WA",Seattle-Tacoma-Bellevue,WA,0.37474459,0.49018329,0.42281505,0.53369951,WA,518266.2838602286,-122.335,47.6077,"Seattle-Tacoma-Bellevue, WA Metro Area",45750,3871323,"Seattle-Tacoma-Bellevue, WA Metro Area",Seattle,WA Metro Area,WA,34103,1.3415242060815764,87268.67167111397
"Minneapolis, MN",Minneapolis,MN,3310896,3549082,6850.294151737452,6495.090534362935,166677,509.75363353033634,546.4253317522246,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Minneapolis-St. Paul-Bloomington,MN-WI,0.36763227,0.47622299,0.41136688,0.51238036,MN,297418.505056655,-93.267601,44.977901,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",41204,3573609,"Minneapolis-St Paul-Bloomington, MN-WI Metro Area",Minneapolis,MN-WI Metro Area,MN,34103,1.2082221505439403,78597.12235052633
"San Diego, CA",San Diego,CA,3041838,3260294,2725.033786100386,2688.791005791506,156427,1131.3032487270489,1212.550173285134,41740,"San Diego-Carlsbad, CA",San Diego-Carlsbad,CA,0.3477357,0.45893136,0.39516366000000003,0.50030339,CA,615168.0946564456,-117.162,32.714001,"San Diego-Chula Vista-Carlsbad, CA Metro Area",38073,3316073,"San Diego-Chula Vista-Carlsbad, CA Metro Area",San Diego,CA Metro Area,CA,34103,1.116412045861068,72624.7024379087
"Tampa, FL",Tampa,FL,2776089,3084405,2723.180076061776,2501.362783783784,141928,1109.8306163333257,1233.0898260724318,45300,"Tampa-St. Petersburg-Clearwater, FL",Tampa-St. Petersburg-Clearwater,FL,0.34797734,0.43807134,0.39938056,0.49317366,FL,234190.1838608375,-82.456398,27.9491,"Tampa-St. Petersburg-Clearwater, FL Metro Area",32276,3097859,"Tampa-St Petersburg-Clearwater, FL Metro Area",Tampa,FL Metro Area,FL,34103,0.9464270005571357,61566.85566900272
"Baltimore, MD",Baltimore,MD,2769977,2856239,3036.3087976833976,2854.2763447876446,120545,970.4655980695112,1000.6876191984492,12580,"Baltimore-Columbia-Towson, MD",Baltimore-Columbia-Towson,MD,0.35200542,0.46967423,0.4155007,0.52644682,MD,297783.08291631675,-76.613998,39.2901,"Baltimore-Columbia-Towson, MD Metro Area",41465,2796733,"Baltimore-Columbia-Towson, MD Metro Area",Baltimore,MD Metro Area,MD,34103,1.2158754361786352,79094.98296924024
"Denver, CO",Denver,CO,2506951,2850907,8638.507733204633,8579.675965637065,154086,292.1964663981167,332.2860923207736,19740,"Denver-Aurora-Lakewood, CO",Denver-Aurora-Lakewood,CO,0.3743498,0.50087583,0.42583242,0.54984295,CO,436057.3797004603,-104.997,39.749298,"Denver-Aurora-Lakewood, CO Metro Area",41988,2892066,"Denver-Aurora-Lakewood, CO Metro Area",Denver,CO Metro Area,CO,34103,1.2312113303814913,80092.61171861713
"Portland, OR",Portland,OR,2296028,2520998,4637.147712741313,4532.273648648648,128995,506.5951833434833,556.2325215626964,38900,"Portland-Vancouver-Hillsboro, OR-WA",Portland-Vancouver-Hillsboro,OR-WA,0.34609646,0.43952808,0.39116162,0.47749302,OR,414231.1374139787,-122.676,45.518501,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",38544,2445761,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Portland,OR-WA Metro Area,OR,34103,1.1302231475236784,73523.14056593261
"Orlando, FL",Orlando,FL,2107196,2470593,3321.8703559845562,2910.519832046332,120406,723.9930052352435,848.8493954919978,36740,"Orlando-Kissimmee-Sanford, FL",Orlando-Kissimmee-Sanford,FL,0.30913433,0.40698722,0.3507984,0.44835913,FL,259458.35600652007,-81.378799,28.543501,"Orlando-Kissimmee-Sanford, FL Metro Area",29875,2508970,"Orlando-Kissimmee-Sanford, FL Metro Area",Orlando,FL Metro Area,FL,34103,0.8760226373046359,56986.9194792247
"San Antonio, TX",San Antonio,TX,2140051,2463804,7617.925059073359,7558.658618532819,80781,283.1257645044164,325.9578351586196,41700,"San Antonio-New Braunfels, TX",San Antonio-New Braunfels,TX,0.3269262,0.41764671,0.37705666,0.4631488,TX,208016.59412789575,-98.4907,29.426399,"San Antonio-New Braunfels, TX Metro Area",29071,2468193,"San Antonio-New Braunfels, TX Metro Area",San Antonio,TX Metro Area,TX,34103,0.8524469987977598,55453.27987215201
"Cincinnati, OH",Cincinnati,OH,2346068,2407841,6631.198608108108,6541.125718532819,84301,358.66425764497086,368.1080449467467,17140,"Cincinnati, OH-KY-IN",Cincinnati,OH-KY-IN,0.31457672,0.41423383,0.36198092,0.45618263,OH,193876.16016534585,-84.5093,39.100498,"Cincinnati, OH-KY-IN Metro Area",34575,2201741,"Cincinnati, OH-KY-IN Metro Area",Cincinnati,OH-KY-IN Metro Area,OH,34103,1.0138404245960766,65952.22563997302
"Sacramento, CA",Sacramento,CA,2209489,2380516,5096.927435135135,5019.393163320464,91178,440.1904628922042,474.263705301225,40900,"Sacramento--Roseville--Arden-Arcade, CA",Sacramento--Roseville--Arden-Arcade,CA,0.3502709,0.44375852,0.40342751,0.4892731,CA,429048.08300021023,-121.493,38.579201,"Sacramento-Roseville-Folsom, CA Metro Area",35563,2315980,"Sacramento-Roseville-Folsom, CA Metro Area",Sacramento,CA Metro Area,CA,34103,1.0428114828607453,67836.84744567926
"Pittsburgh, PA",Pittsburgh,PA,2360528,2334327,5564.469288416988,5506.240732432432,95791,428.70047182939186,423.9420529237903,38300,"Pittsburgh, PA",Pittsburgh,PA,0.31597543,0.3994509,0.36815506,0.45329663,PA,159630.70274664758,-80.001503,40.440899,"Pittsburgh, PA Metro Area",36208,2331447,"Pittsburgh, PA Metro Area",Pittsburgh,PA Metro Area,PA,34103,1.0617247749464855,69067.19265284578
"Kansas City, MO",Kansas City,MO,2134909,2250731,9722.363322007724,9577.907863320464,91200,222.89930436435324,234.9919243449183,28140,"Kansas City, MO-KS",Kansas City,MO-KS,0.34792081,0.4454512,0.39479804,0.48864263,MO,203943.5548825452,-94.583504,39.101601,"Kansas City, MO-KS Metro Area",35761,2124518,"Kansas City, MO-KS Metro Area",Kansas City,MO-KS Metro Area,MO,34103,1.0486174236870656,68214.53481160014
"Las Vegas, NV",Las Vegas,NV,1948681,2179948,5332.802737837838,5193.078828957529,84732,375.24579621896146,419.77949339883367,29820,"Las Vegas-Henderson-Paradise, NV",Las Vegas-Henderson-Paradise,NV,0.23964137,0.32357496,0.30407009,0.37342075,NV,304830.5397351315,-115.141,36.1702,"Las Vegas-Henderson-Paradise, NV Metro Area",30704,2182004,"Las Vegas-Henderson-Paradise, NV Metro Area",Las Vegas,NV Metro Area,NV,34103,0.9003313491481688,58568.246885024775
"Austin, TX",Austin,TX,1775659,2177584,5870.20088030888,5793.022355212355,99626,306.5168561627119,375.8977380849717,12420,"Austin-Round Rock, TX",Austin-Round Rock,TX,0.39755037,0.52127868,0.45512399,0.57666129,TX,313189.053620816,-97.746995,30.264924,"Austin-Round Rock-Georgetown, TX Metro Area",39827,2114441,"Austin-Round Rock-Georgetown, TX Metro Area",Austin,TX Metro Area,TX,34103,1.1678444711608948,75970.47839662198
"Charlotte, NC",Charlotte,NC,1891743,2172467,3781.6736463320462,3713.88224015444,96335,509.3707548253691,584.9585042065466,16740,"Charlotte-Concord-Gastonia, NC-SC",Charlotte-Concord-Gastonia,NC-SC,0.32954726,0.4663735,0.37868536,0.5115307,NC,233275.8602744135,-80.843002,35.2243,"Charlotte-Concord-Gastonia, NC-SC Metro Area",34558,2545560,"Charlotte-Concord-Gastonia, NC-SC Metro Area",Charlotte,NC-SC Metro Area,NC,34103,1.0133419347271502,65919.7979368384
"Columbus, OH",Columbus,OH,1927792,2104675,4782.868472200772,4730.512099227799,75737,407.5228980631272,444.91483286631137,18140,"Columbus, OH",Columbus,OH,0.34627905,0.44996524,0.3954353,0.49789947,OH,213918.44940185497,-82.999496,39.961201,"Columbus, OH Metro Area",34441,2077761,"Columbus, OH Metro Area",Columbus,OH Metro Area,OH,34103,1.0099111515115973,65696.61903879425
"San Jose, CA",San Jose,CA,1822974,1972474,2547.5307938223937,2535.351046718147,89778,719.0223233030099,777.9885166408195,41940,"San Jose-Sunnyvale-Santa Clara, CA",San Jose-Sunnyvale-Santa Clara,CA,0.47426072,0.63637751,0.51112145,0.66457206,CA,1186118.649157202,-121.89,37.334202,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",55547,1987846,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",San Jose,CA Metro Area,CA,34103,1.6288009852505645,105956.56623640149
"Cleveland, OH",Cleveland,OH,1967540,1944436,1784.5769525096523,1748.249783011583,82617,1125.4341451200764,1112.2186422643,17460,"Cleveland-Elyria, OH",Cleveland-Elyria,OH,0.31750074,0.4021273,0.3654854,0.44317737,OH,158860.24570392317,-81.689697,41.501301,"Cleveland-Elyria, OH Metro Area",33785,2056898,"Cleveland-Elyria, OH Metro Area",Cleveland,OH Metro Area,OH,34103,0.9906753071577281,64445.29120018767
"Indianapolis, IN",Indianapolis,IN,1665959,1798936,3390.065162934363,3361.9594335907336,74276,495.5321540631072,535.08557599657,26900,"Indianapolis-Carmel-Anderson, IN",Indianapolis-Carmel-Anderson,IN,0.31272539,0.4090918,0.35959107,0.45413646,IN,181759.70939598756,-86.153535,39.767721,"Indianapolis-Carmel-Anderson, IN Metro Area",33699,2029472,"Indianapolis-Carmel-Anderson, IN Metro Area",Indianapolis,IN Metro Area,IN,34103,0.9881535348796293,64281.24517256546
"Nashville, TN",Nashville,TN,1563416,1770863,5816.075346332046,5743.691495752896,73736,272.197070674156,308.31443529121356,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Nashville-Davidson--Murfreesboro--Franklin,TN,0.30752152,0.40069273,0.36409286,0.45780593,TN,289489.3877058267,-86.784476,36.16775,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",35479,1871903,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",Nashville,TN Metro Area,TN,34103,1.0403483564495792,67676.61644195525
"Virginia Beach, VA",Virginia Beach,VA,1634069,1680325,3043.747148648649,2514.501953667954,64138,649.8579162431555,668.2536068619381,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",Virginia Beach-Norfolk-Newport News,VA-NC,0.30519652,0.39614105,0.34641182,0.42769811,VA,246672.9063161683,-76.057344,36.750525,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",33907,1761729,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",Virginia Beach,VA-NC Metro Area,VA,34103,0.9942527050406123,64678.0076579773
"Providence, RI",Providence,RI,1600852,1618268,1758.1275548262547,1586.9024725868726,69993,1008.7904125515588,1019.7652520901282,77200,"Providence-Warwick, RI-MA",Providence-Warwick,RI-MA,0.31182271,0.39236581,0.36166343,0.44020227,RI,318636.20988411043,-71.413696,41.824001,"Providence-Warwick, RI-MA Metro Area",35991,1618268,"Providence-Warwick, RI-MA Metro Area",Providence,RI-MA Metro Area,RI,34103,1.0553616983843064,68653.26255989209
"Jacksonville, FL",Jacksonville,FL,1365245,1521415,3268.717358687258,3058.3247305019304,70362,446.4028905707265,497.4667944271262,27260,"Jacksonville, FL",Jacksonville,FL,0.31392929,0.40762556,0.36613652,0.46043634,FL,233817.61514229517,-81.659069,30.33006,"Jacksonville, FL Metro Area",33304,1503574,"Jacksonville, FL Metro Area",Jacksonville,FL Metro Area,FL,34103,0.9765709761604551,63527.77795267278
"Milwaukee, WI",Milwaukee,WI,1504855,1521015,1368.3913038610035,1322.244091891892,63371,1138.1068058673077,1150.328452459714,33340,"Milwaukee-Waukesha-West Allis, WI",Milwaukee-Waukesha-West Allis,WI,0.32395992,0.42956898,0.36482447,0.46419871,WI,247289.0295729712,-87.907097,43.036098,"Milwaukee-Waukesha, WI Metro Area",35491,1575223,"Milwaukee-Waukesha, WI Metro Area",Milwaukee,WI Metro Area,WI,34103,1.0407002316511744,67699.5065853444
"Richmond, VA",Richmond,VA,1384485,1475169,7019.223209266409,6804.1869050193045,62118,203.475451119471,216.80312733793352,40060,"Richmond, VA",Richmond,VA,0.33731318,0.45246115,0.38674715,0.50246274,VA,246630.35153008727,-77.437401,37.542801,"Richmond, VA Metro Area",36413,1269530,"Richmond, VA Metro Area",Richmond,VA Metro Area,VA,34103,1.0677359763070697,69458.23260241034
"Oklahoma City, OK",Oklahoma City,OK,1292880,1424318,6463.845429343629,6385.498623166023,62061,202.47126752318857,223.05509468480668,36420,"Oklahoma City, OK",Oklahoma City,OK,0.32024133,0.40652001,0.37340865,0.46068013,OK,160532.13305798557,-97.522499,35.468201,"Oklahoma City, OK Metro Area",31301,1382841,"Oklahoma City, OK Metro Area",Oklahoma City,OK Metro Area,OK,34103,0.9178371404275284,59707.03151863472
"Memphis, TN",Memphis,TN,1324563,1348364,4829.027702702702,4710.061937065637,42666,281.21986880393365,286.273093223914,32820,"Memphis, TN-MS-AR",Memphis,TN-MS-AR,0.2602374,0.34014583,0.31813696,0.3973625,TN,156398.9844568037,-90.055496,35.1427,"Memphis, TN-MS-AR Metro Area",29453,1339623,"Memphis, TN-MS-AR Metro Area",Memphis,TN-MS-AR Metro Area,TN,34103,0.8636483593818726,56181.94943670645
"Hartford, CT",Hartford,CT,1278432,1272609,1682.232681081081,1637.4277305019305,49641,780.7562899940107,777.2001025107224,73450,"Hartford-West Hartford-East Hartford, CT",Hartford-West Hartford-East Hartford,CT,0.37761199,0.48062438,0.43547434,0.53337711,CT,246905.2558098612,-72.670601,41.764702,"Hartford-East Hartford-Middletown, CT Metro Area",41384,1207677,"Hartford-East Hartford-Middletown, CT Metro Area",Hartford,CT Metro Area,CT,34103,1.213500278567868,78940.47450136351
"New Orleans, LA",New Orleans,LA,1109797,1179135,2287.6630814671817,1646.2201602316602,49211,674.148590091271,716.2681082912198,35380,"New Orleans-Metairie, LA",New Orleans-Metairie,LA,0.27050275,0.35226095,0.32029042,0.40050876,LA,222052.6974251069,-90.070801,29.952499,"New Orleans-Metairie, LA Metro Area",31072,1267777,"New Orleans-Metairie, LA Metro Area",New Orleans,LA Metro Area,LA,34103,0.9111221886637539,59270.21128229188
"Salt Lake City, UT",Salt Lake City,UT,1071123,1178267,2151.026496911197,2115.9853586872587,58734,506.20529844522014,556.8408094898105,41620,"Salt Lake City, UT",Salt Lake City,UT,0.39780337,0.48986137,0.43339336,0.52558041,UT,362950.585661729,-111.889,40.763599,"Salt Lake City, UT Metro Area",32829,1201043,"Salt Lake City, UT Metro Area",Salt Lake City,UT Metro Area,UT,34103,0.9626425827639797,62621.709776852476
"Birmingham, AL",Birmingham,AL,1152021,1173400,6054.923454054054,5959.892784169884,42256,193.29559133343668,196.8827364003387,13820,"Birmingham-Hoover, AL",Birmingham-Hoover,AL,0.29884958,0.38673604,0.34709781,0.44548419,AL,175753.8002819586,-86.810699,33.517399,"Birmingham-Hoover, AL Metro Area",31978,1085330,"Birmingham-Hoover, AL Metro Area",Birmingham,AL Metro Area,AL,34103,0.9376887663841891,60998.417108172296
"Buffalo, NY",Buffalo,NY,1117380,1112978,1541.1120007722009,1522.9819756756756,45349,733.6790703017158,730.7886880973913,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",Buffalo-Cheektowaga-Niagara Falls,NY,0.3167901,0.38766649,0.37684783,0.43951178,NY,171888.2317428207,-78.873299,42.884102,"Buffalo-Cheektowaga, NY Metro Area",33108,1130175,"Buffalo-Cheektowaga, NY Metro Area",Buffalo,NY Metro Area,NY,34103,0.9708236812010673,63153.90561065009
"Raleigh, NC",Raleigh,NC,900428,1036389,1995.4474606177607,1971.5117555984557,48800,456.71956935741105,525.6823841181725,39580,"Raleigh, NC",Raleigh,NC,0.35944811,0.49456331,0.41300467,0.54099578,NC,285959.10075343406,-78.639099,35.7766,"Raleigh-Cary, NC Metro Area",38370,1332311,"Raleigh-Cary, NC Metro Area",Raleigh,NC Metro Area,NC,34103,1.1251209571005483,73191.23348679
"Rochester, NY",Rochester,NY,1041129,1035404,2819.4932351351354,2791.94044015444,38423,372.90516123703856,370.854616061482,40380,"Rochester, NY",Rochester,NY,0.33922747,0.40852714,0.39265522,0.45416301,NY,158614.162290463,-77.607498,43.1563,"Rochester, NY Metro Area",33188,1072877,"Rochester, NY Metro Area",Rochester,NY Metro Area,NY,34103,0.9731695158783684,63306.506566577715
"Fresno, CA",Fresno,CA,972978,1029512,5513.636759459459,5461.08082007722,30022,178.16583054821774,188.51799376692665,23420,"Fresno, CA",Fresno,CA,0.27334729,0.32261312,0.31901005,0.36268142,CA,272957.36082035466,-119.793,36.7369,"Fresno, CA Metro Area",24422,984521,"Fresno, CA Metro Area",Fresno,CA Metro Area,CA,34103,0.7161246811130986,46585.25682080755
"Allentown, PA",Allentown,PA,1003571,1016995,2144.4967822393824,2111.092347876448,35928,475.37996194694847,481.73875530504256,10900,"Allentown-Bethlehem-Easton, PA-NJ",Allentown-Bethlehem-Easton,PA-NJ,0.26702428,0.33526921,0.32324323,0.38200048,PA,215466.6217024752,-75.4729,40.602001,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",34637,837610,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Allentown,PA-NJ Metro Area,PA,34103,1.015658446470985,66070.49138081694
"Tucson, AZ",Tucson,AZ,937014,974966,2845.224657915058,2844.0894845559847,34767,329.4600978936095,342.8042631198049,46060,"Tucson, AZ",Tucson,AZ,0.3300246,0.40594903,0.37286454,0.4464902,AZ,228572.2942994275,-110.97,32.2211,"Tucson, AZ Metro Area",29707,1027207,"Tucson, AZ Metro Area",Tucson,AZ Metro Area,AZ,34103,0.8710963844823036,56666.457471776674
"Bridgeport, CT",Bridgeport,CT,943826,970040,732.1532513513514,681.782076061776,49122,1384.351441815376,1422.800677898879,71950,"Bridgeport-Stamford-Norwalk, CT",Bridgeport-Stamford-Norwalk,CT,0.36836004,0.51833683,0.4395192,0.58285922,CT,461022.7317944977,-73.191902,41.177898,"Bridgeport-Stamford-Norwalk, CT Metro Area",57263,943926,"Bridgeport-Stamford-Norwalk, CT Metro Area",Bridgeport,CT Metro Area,CT,34103,1.6791191390786735,109229.85674104918
"Tulsa, OK",Tulsa,OK,904929,952930,5940.797357142857,5786.523571428572,39908,156.38560680339404,164.68091562007436,46140,"Tulsa, OK",Tulsa,OK,0.29516971,0.38411924,0.35133934,0.43774456,OK,156122.21310151057,-95.990799,36.1521,"Tulsa, OK Metro Area",30633,990544,"Tulsa, OK Metro Area",Tulsa,OK Metro Area,OK,34103,0.898249420872064,58432.813536639005
"Albany, NY",Albany,NY,932389,941115,3459.153245559846,3395.5572884169883,36791,274.5908611763345,277.1606897078001,10580,"Albany-Schenectady-Troy, NY",Albany-Schenectady-Troy,NY,0.36932078,0.44743568,0.424283,0.49190852,NY,233281.7558281499,-73.750999,42.6525,"Albany-Schenectady-Troy, NY Metro Area",37557,880736,"Albany-Schenectady-Troy, NY Metro Area",Albany,NY Metro Area,NY,34103,1.1012814121924757,71640.42627217546
"Omaha, NE",Omaha,NE,873118,938317,5044.7497911196915,4986.314418918919,39825,175.10287692393462,188.17846633173932,36540,"Omaha-Council Bluffs, NE-IA",Omaha-Council Bluffs,NE-IA,0.34043512,0.42004812,0.38899702,0.4640663,NE,194148.48265348608,-95.933098,41.256699,"Omaha-Council Bluffs, NE-IA Metro Area",34825,931779,"Omaha-Council Bluffs, NE-IA Metro Area",Omaha,NE-IA Metro Area,NE,34103,1.0211711579626426,66429.10362724686
"Albuquerque, NM",Albuquerque,NM,902666,928672,11753.961532818534,11738.836901930505,33175,76.89569312029138,79.11107444105266,10740,"Albuquerque, NM",Albuquerque,NM,0.3213281,0.41661993,0.35720241,0.44349107,NM,206967.55061959237,-106.65,35.085602,"Albuquerque, NM Metro Area",29747,912108,"Albuquerque, NM Metro Area",Albuquerque,NM Metro Area,NM,34103,0.8722693018209542,56742.75794974049
"Greensboro, NC",Greensboro,NC,874876,918756,2653.624923938224,2614.839396138996,35624,334.5811606218796,351.36230598200837,24660,"Greensboro-High Point, NC",Greensboro-High Point,NC,0.2749936,0.37066185,0.31997371,0.40691423,NC,165867.38668440602,-79.790604,36.071899,"Greensboro-High Point, NC Metro Area",28787,762063,"Greensboro-High Point, NC Metro Area",Greensboro,NC Metro Area,NC,34103,0.8441192856933407,54911.546478608914
